,Occurences
molecular transducer activity,13
binding,226
transporter activity,27
catalytic activity,71
molecular adaptor activity,11
molecular function regulator,50
structural molecule activity,9
transcription regulator activity,16
molecular carrier activity,1
antioxidant activity,1
