Uniprot Entry,Accession Name
Q9JJV2,['PROF2_MOUSE']
Q8K0E8,['FIBB_MOUSE']
Q9Z2M7,['PMM2_MOUSE']
Q99LC3,['NDUAA_MOUSE']
P05201,['AATC_MOUSE']
O09061,['PSB1_MOUSE']
P26040,['EZRI_MOUSE']
Q9D358,['PPAC_MOUSE']
Q9QZ88,['VPS29_MOUSE']
Q8BH04,['PCKGM_MOUSE']
P30275,['KCRU_MOUSE']
Q3U9Z0,['VATB2_MOUSE']
Q9D883,['U2AF1_MOUSE']
Q9CPV4,['GLOD4_MOUSE']
Q9DAR7,['DCPS_MOUSE']
Q8R3M2,['ODO1_MOUSE']
Q8C1B7,['SEP11_MOUSE']
Q9JKB1,['UCHL3_MOUSE']
Q8BFR5,['EFTU_MOUSE']
P51880,['FABP7_MOUSE']
P62715,['PP2AB_MOUSE']
Q8BP92,['RCN2_MOUSE']
Q61360,['DYN1_MOUSE']
Q03265,['ATPA_MOUSE']
P50518,['VATE1_MOUSE']
P17156,['HSP72_MOUSE']
O88569,['ROA2_MOUSE']
Q9R1P3,['PSB2_MOUSE']
Q99LC5,['ETFA_MOUSE']
P60487,['PLPP_MOUSE']
P17710,['HXK1_MOUSE']
Q8K310,['MATR3_MOUSE']
Q9CR16,['PPID_MOUSE']
P54775,['PRS6B_MOUSE']
P42669,['PURA_MOUSE']
Q08331,['CALB2_MOUSE']
Q9CZC8,['SCRN1_MOUSE']
P46660,['AINX_MOUSE']
P45591,['COF2_MOUSE']
P62141,['PP1B_MOUSE']
Q9CY33,['TBB5_MOUSE']
O88544,['CSN4_MOUSE']
Q9ERF3,['WDR61_MOUSE']
P42208,['SEPT2_MOUSE']
P60710,['ACTB_MOUSE']
Q60631,['GRB2_MOUSE']
P80316,['TCPE_MOUSE']
Q9D819,['IPYR_MOUSE']
P35700,['PRDX1_MOUSE']
P68368,['TBA4A_MOUSE']
Q7TMM9,['TBB2A_MOUSE']
Q9Z2I9,['SUCB1_MOUSE']
Q3U5Q7,['CMPK2_MOUSE']
P26443,['DHE3_MOUSE']
Q00612,['G6PD1_MOUSE']
Q8BH56,['DBNL_MOUSE']
Q02053,['UBA1_MOUSE']
P08113,['ENPL_MOUSE']
Q62188,['DPYL3_MOUSE']
Q9R0P3,['ESTD_MOUSE']
Q9ERD7,['TBB3_MOUSE']
Q76MZ3,['2AAA_MOUSE']
O88935,['SYN1_MOUSE']
P17751,['TPIS_MOUSE']
P63028,['TCTP_MOUSE']
Q9CVB6,['ARPC2_MOUSE']
O88342,['WDR1_MOUSE']
P08249,['MDHM_MOUSE']
Q8BFZ3,['ACTBL_MOUSE']
P84104,['SRSF3_MOUSE']
Q9JJU8,['SH3L1_MOUSE']
P50516,['VATA_MOUSE']
Q9D172,['ES1_MOUSE']
Q9BR45,['SNP25_MOUSE']
Q9CZS1,['AL1B1_MOUSE']
Q9D1K2,['VATF_MOUSE']
P20108,['PRDX3_MOUSE']
Q9DB60,['PGFS_MOUSE']
O55042,['SYUA_MOUSE']
P08551,['NFL_MOUSE']
P05063,['ALDOC_MOUSE']
Q9Z2Q6,['SEPT5_MOUSE']
Q64515,['TRFE_MOUSE']
O08553,['DPYL2_MOUSE']
P52196,['THTR_MOUSE']
P62334,['PRS10_MOUSE']
P48036,['ANXA5_MOUSE']
P35486,['ODPA_MOUSE']
Q3UGM0,['HSP7C_MOUSE']
Q61553,['FSCN1_MOUSE']
P06151,['LDHA_MOUSE']
Q8BG05,['ROA3_MOUSE']
P13020,['GELS_MOUSE']
Q80VX6,['GFAP_MOUSE']
Q9DBJ1,['PGAM1_MOUSE']
P53810,['PIPNA_MOUSE']
Q8BWT1,['THIM_MOUSE']
P08228,['SODC_MOUSE']
P14733,['LMNB1_MOUSE']
O35737,['HNRH1_MOUSE']
Q9R111,['GUAD_MOUSE']
Q9R0P5,['DEST_MOUSE']
Q9R0Y5,['KAD1_MOUSE']
Q9D0K2,['SCOT1_MOUSE']
Q9CZ13,['QCR1_MOUSE']
Q9QZ06,['TOLIP_MOUSE']
Q9DBP5,['KCY_MOUSE']
Q9JMG7,['HDGR3_MOUSE']
O35098,['DPYL4_MOUSE']
P16546,['SPTN1_MOUSE']
Q6PIC6,['AT1A3_MOUSE']
P63101,['1433Z_MOUSE']
P14873,['MAP1B_MOUSE']
P20357,['MTAP2_MOUSE']
Q62261,['SPTB2_MOUSE']
Q6PIE5,['AT1A2_MOUSE']
Q91ZZ3,['SYUB_MOUSE']
Q8VDN2,['AT1A1_MOUSE']
P60202,['MYPR_MOUSE']
P46460,['NSF_MOUSE']
Q7TSJ2,['MAP6_MOUSE']
Q9WV92,['E41L3_MOUSE']
Q8CAQ8,['MIC60_MOUSE']
P62897,['CYC_MOUSE']
P68372,['TBB4B_MOUSE']
P61264,['STX1B_MOUSE']
Q8C8R3,['ANK2_MOUSE']
Q9JHU4,['DYHC1_MOUSE']
O35129,['PHB2_MOUSE']
Q9R0K7,['AT2B2_MOUSE']
P05202,['AATM_MOUSE']
Q61879,['MYH10_MOUSE']
Q68FD5,['CLH1_MOUSE']
Q3UCA0,['LMNA_MOUSE']
Q61548,['AP180_MOUSE']
Q9QYR6,['MAP1A_MOUSE']
P10630,['IF4A2_MOUSE']
P01831,['THY1_MOUSE']
Q64433,['CH10_MOUSE']
Q9D0J8,['PTMS_MOUSE']
Q61305,['ANK3_MOUSE']
Q99104,['MYO5A_MOUSE']
O55143,['AT2A2_MOUSE']
O08917,['FLOT1_MOUSE']
P63054,['PCP4_MOUSE']
Q9CQR2,['RS21_MOUSE']
Q8BW96,['KCC1D_MOUSE']
Q9D3D9,['ATPD_MOUSE']
G5E829,['AT2B1_MOUSE']
Q6Q477,['AT2B4_MOUSE']
P10853,['H2B1F_MOUSE']
Q91YR1,['TWF1_MOUSE']
Q61885,['MOG_MOUSE']
Q9WUM5,['SUCA_MOUSE']
Q9JME5,['AP3B2_MOUSE']
O08788,['DCTN1_MOUSE']
Q11011,['PSA_MOUSE']
Q99K48,['NONO_MOUSE']
Q91VR2,['ATPG_MOUSE']
Q91WS0,['CISD1_MOUSE']
Q9Z110,['P5CS_MOUSE']
Q9QXR9,['PLEC_MOUSE']
Q8BH59,['CMC1_MOUSE']
P63328,['PP2BA_MOUSE']
O88952,['LIN7C_MOUSE']
Q8JZS0,['LIN7A_MOUSE']
Q8CGP6,['H2A1H_MOUSE']
P27661,['H2AX_MOUSE']
Q8C0T5,['SI1L1_MOUSE']
Q9QXZ0,['MACF1_MOUSE']
Q8CHC4,['SYNJ1_MOUSE']
Q8VIJ6,['SFPQ_MOUSE']
P21107,['TPM3_MOUSE']
P63040,['CPLX1_MOUSE']
Q9JM07,['G6PI_MOUSE']
P97300,['NPTN_MOUSE']
Q5SWT3,['S2535_MOUSE']
Q3UNH4,['GRIN1_MOUSE']
P60843,['IF4A1_MOUSE']
Q8K0U4,['HS12A_MOUSE']
Q8VDD5,['MYH9_MOUSE']
Q9Z2D6,['MECP2_MOUSE']
P16330,['CN37_MOUSE']
P04370,['MBP_MOUSE']
P10126,['EF1A1_MOUSE']
P62631,['EF1A2_MOUSE']
Q61301,['CTNA2_MOUSE']
Q6PDS7,['H4_MOUSE']
P21550,['ENOB_MOUSE']
Q9CYH2,['F213A_MOUSE']
P99029,['PRDX5_MOUSE']
P97427,['DPYL1_MOUSE']
Q8R0S4,['CACB4_MOUSE']
Q6W8Q3,['PC4L1_MOUSE']
Q8C167,['PPCEL_MOUSE']
Q8CCK0,['H2AW_MOUSE']
P63005,['LIS1_MOUSE']
Q9D0F9,['PGM1_MOUSE']
Q9WV02,['RBMX_MOUSE']
Q60605,['MYL6_MOUSE']
P62881,['GNB5_MOUSE']
Q9QYB5,['ADDG_MOUSE']
P31650,['S6A11_MOUSE']
Q7TNG5,['EMAL2_MOUSE']
Q9WTT4,['VATG2_MOUSE']
Q9JKX6,['NUDT5_MOUSE']
Q7TPR4,['ACTN1_MOUSE']
Q91VN4,['MIC25_MOUSE']
P48758,['CBR1_MOUSE']
Q64524,['H2B2E_MOUSE']
Q810U4,['NRCAM_MOUSE']
O88456,['CPNS1_MOUSE']
Q8BRT1,['CLAP2_MOUSE']
Q922B2,['SYDC_MOUSE']
Q3TXS7,['PSMD1_MOUSE']
Q9QYX7,['PCLO_MOUSE']
O35136,['NCAM2_MOUSE']
Q91XV3,['BASP1_MOUSE']
Q9JLM8,['DCLK1_MOUSE']
Q9CQA3,['SDHB_MOUSE']
Q64332,['SYN2_MOUSE']
Q8K0S0,['PHYIP_MOUSE']
Q9WV27,['AT1A4_MOUSE']
P57780,['ACTN4_MOUSE']
P63318,['KPCG_MOUSE']
B2RSH2,['GNAI1_MOUSE']
P45952,['ACADM_MOUSE']
P49443,['PPM1A_MOUSE']
P02301,['H3C_MOUSE']
Q9D6F9,['TBB4A_MOUSE']
P53994,['RAB2A_MOUSE']
