,Occurences
catalytic activity,971
binding,1907
transporter activity,171
molecular adaptor activity,66
transcription regulator activity,109
molecular function regulator,302
molecular carrier activity,13
antioxidant activity,13
structural molecule activity,127
cargo receptor activity,3
translation regulator activity,40
small molecule sensor activity,1
molecular transducer activity,50
general transcription initiation factor activity,2
