Uniprot Entry,Accession Name
Q9DBT4,['ENTP4_MOUSE']
Q9DC23,['DJC10_MOUSE']
Q9DC61,['MPPA_MOUSE']
Q9DCE5,['PK1IP_MOUSE']
Q9EQH2,['ERAP1_MOUSE']
Q9ERE2,['KRT81_MOUSE']
Q9ERE3,['SGK3_MOUSE']
Q9ES07,['S15A2_MOUSE']
Q9JJV5,['CCG3_MOUSE']
Q9JJV9,['SCN5A_MOUSE']
Q9JL62,['GLTP_MOUSE']
Q9JLK3,['CABP5_MOUSE']
Q9JLK7,['CABP1_MOUSE']
Q9JLV1,['BAG3_MOUSE']
Q9JM99,['PRG4_MOUSE']
Q9JMA7,['CP341_MOUSE']
Q9QX11,['CYH1_MOUSE']
Q9QY76,['VAPB_MOUSE']
Q9QYE9,['PKHB1_MOUSE']
Q9QYI7,['DNJB8_MOUSE']
Q9QZD8,['DIC_MOUSE']
Q9QZS3,['NUMB_MOUSE']
Q9R060,['NUBP1_MOUSE']
Q9R099,['TBL2_MOUSE']
Q9R1B9,['SLIT2_MOUSE']
Q9WV86,['KTNA1_MOUSE']
Q9WVK5,['B4GT6_MOUSE']
Q9Z0J0,['NPC2_MOUSE']
Q9Z0U9,['S1PR3_MOUSE']
Q9Z1M8,['RED_MOUSE']
Q9Z1X9,['CDC45_MOUSE']
Q9Z277,['BAZ1B_MOUSE']
Q9Z2B1,['I18RA_MOUSE']
Q9Z2C9,['MTMR7_MOUSE']
Q9Z2J0,['S23A1_MOUSE']
Q9Z2V5,['HDAC6_MOUSE']
P05202,['AATM_MOUSE']
Q08091,['CNN1_MOUSE']
P16381,['DDX3L_MOUSE']
Q62167,['DDX3X_MOUSE']
Q62095,['DDX3Y_MOUSE']
P97324,['G6PD2_MOUSE']
P07310,['KCRM_MOUSE']
Q8C650,['SEP10_MOUSE']
Q5SRX1,['TM1L2_MOUSE']
Q9CQN1,['TRAP1_MOUSE']
