Uniprot Entry,Accession Name
Q8C310,['ROBO4_MOUSE']
Q8C7E7,['STBD1_MOUSE']
Q8CAS9,['PARP9_MOUSE']
Q8CB19,['PHTF2_MOUSE']
Q8CCJ3,['UFL1_MOUSE']
Q8CFT2,['SET1B_MOUSE']
Q8CGB6,['TNS2_MOUSE']
Q8CGV9,['TSH3_MOUSE']
Q8CI85,['CAH12_MOUSE']
Q8JZX9,['BORG1_MOUSE']
Q8K007,['SULF1_MOUSE']
Q8K1H9,['OBP2A_MOUSE']
Q8K1R3,['PNPT1_MOUSE']
Q8K1Y2,['KPCD3_MOUSE']
Q8K297,['GT251_MOUSE']
Q8R0W0,['EPIPL_MOUSE']
Q8R1F6,['HID1_MOUSE']
Q8R1G1,['TASP1_MOUSE']
Q8R1G2,['CMBL_MOUSE']
Q8R1U2,['CGRE1_MOUSE']
Q8R1X6,['SPART_MOUSE']
Q8R238,['SDSL_MOUSE']
Q8R4U7,['LUZP1_MOUSE']
Q9Z1H6,['UHRF1_MOUSE']
Q8VE92,['RBM4B_MOUSE']
Q8VEB4,['PAG15_MOUSE']
Q8VEJ9,['VPS4A_MOUSE']
Q8VEK6,['ING3_MOUSE']
Q8VEX6,['OL187_MOUSE']
Q8VFK7,['O1020_MOUSE']
Q8VHF2,['CDHR5_MOUSE']
Q8VHI4,['CARTF_MOUSE']
Q8VHI5,['VITRN_MOUSE']
Q8VHN7,['AGRV1_MOUSE']
Q91VF5,['EMID1_MOUSE']
Q91WK0,['LRRF2_MOUSE']
Q91WN1,['DNJC9_MOUSE']
Q91WU4,['TMCO4_MOUSE']
Q91WW4,['MRGA2_MOUSE']
Q91XZ4,['PCDB6_MOUSE']
Q91Y86,['MK08_MOUSE']
Q91ZH7,['ABHD3_MOUSE']
Q91ZP3,['LPIN1_MOUSE']
Q920F6,['SMC1B_MOUSE']
Q920Q4,['VPS16_MOUSE']
Q921G8,['GCP2_MOUSE']
Q923I7,['SC5A2_MOUSE']
Q923K4,['GTPB3_MOUSE']
Q923Z3,['MTO1_MOUSE']
Q99JR6,['NMNA3_MOUSE']
Q99MR9,['PPR3A_MOUSE']
Q99MS7,['EH1L1_MOUSE']
Q99MV5,['M10L1_MOUSE']
Q99MZ3,['MLXPL_MOUSE']
Q99NG0,['ARIP4_MOUSE']
Q99P58,['RB27B_MOUSE']
Q9CQF3,['CPSF5_MOUSE']
Q9CWL8,['CTBL1_MOUSE']
Q9CXJ4,['MITOS_MOUSE']
Q9CY18,['SNX7_MOUSE']
Q9CYA6,['ZCHC8_MOUSE']
Q9D071,['MMS19_MOUSE']
Q9D387,['LAMP5_MOUSE']
Q9D646,['KRT34_MOUSE']
Q9D8L5,['CCD91_MOUSE']
Q9DAA3,['CD036_MOUSE']
Q9DAU9,['ZN654_MOUSE']
Q9DB15,['RM12_MOUSE']
Q9DBG7,['SRPRA_MOUSE']
Q9DBQ9,['SWT1_MOUSE']
Q9DBS9,['OSBL3_MOUSE']
