,Occurences
catalytic activity,824
binding,1386
molecular adaptor activity,39
antioxidant activity,15
molecular function regulator,174
structural molecule activity,94
transcription regulator activity,53
cargo receptor activity,4
transporter activity,145
translation regulator activity,24
molecular carrier activity,8
molecular transducer activity,44
small molecule sensor activity,1
molecular sequestering activity,1
