Uniprot Entry,Accession Name
Q91ZZ3,['SYUB_MOUSE']
Q3U6X6,['Q3U6X6_MOUSE']
Q3TKB9,['Q3TKB9_MOUSE']
P61264,['STX1B_MOUSE']
Q8BH59,['CMC1_MOUSE']
Q3TQL4,['Q3TQL4_MOUSE']
P26645,['MARCS_MOUSE']
Q9CQV8,['1433B_MOUSE']
Q64332,['SYN2_MOUSE']
E9Q3W4,['E9Q3W4_MOUSE']
P12960,['CNTN1_MOUSE']
P19096,['FAS_MOUSE']
Q8BFZ3,['ACTBL_MOUSE']
Q61275,['Q61275_MOUSE']
Q3TIU7,['Q3TIU7_MOUSE']
P97450,['ATP5J_MOUSE']
Q3U4P3,['Q3U4P3_MOUSE']
Q3TQP7,['Q3TQP7_MOUSE']
Q9WUM5,['SUCA_MOUSE']
Q3UWS9,['Q3UWS9_MOUSE']
B7U582,['B7U582_MOUSE']
Q80TJ1,['CAPS1_MOUSE']
E9Q171,['E9Q171_MOUSE']
Q3TIY6,['Q3TIY6_MOUSE']
H3BKM0,['H3BKM0_MOUSE']
G3UX26,['G3UX26_MOUSE']
Q5DTI3,['Q5DTI3_MOUSE']
Q3UJK6,['Q3UJK6_MOUSE']
Q810U3,['NFASC_MOUSE']
P24549,['AL1A1_MOUSE']
P18872,['GNAO_MOUSE']
Q8C845,['Q8C845_MOUSE']
D3YZ62,['D3YZ62_MOUSE']
P68510,['1433F_MOUSE']
G5E8R3,['G5E8R3_MOUSE']
Q61885,['MOG_MOUSE']
D3YWR7,['D3YWR7_MOUSE']
F8WIT2,['F8WIT2_MOUSE']
O35619,['O35619_MOUSE']
P51881,['ADT2_MOUSE']
A5A4Z2,['A5A4Z2_MOUSE']
Q9WTQ5,['AKA12_MOUSE']
Q8K0U4,['HS12A_MOUSE']
Q4KMM3,['OXR1_MOUSE']
Q3TFQ8,['Q3TFQ8_MOUSE']
G5E8J2,['G5E8J2_MOUSE']
Q9DB05,['SNAA_MOUSE']
Q8C048,['Q8C048_MOUSE']
B2RXT3,['B2RXT3_MOUSE']
F8WGG5,['F8WGG5_MOUSE']
P31648,['SC6A1_MOUSE']
Q61879,['MYH10_MOUSE']
E9Q3M3,['E9Q3M3_MOUSE']
B1AQX6,['B1AQX6_MOUSE']
Q3ZB60,['Q3ZB60_MOUSE']
