Accession Name
KPYM_MOUSE
ODPB_MOUSE
LDHB_MOUSE
ODO2_MOUSE
AMPL_MOUSE
SNAB_MOUSE
AMPH_MOUSE
PGK1_MOUSE
GPDM_MOUSE
SODM_MOUSE
TERA_MOUSE
TKT_MOUSE
PACN1_MOUSE
ENOG_MOUSE
TBA1C_MOUSE
COF1_MOUSE
HPRT_MOUSE
CAZA1_MOUSE
DCTN2_MOUSE
GLNA_MOUSE
NDUS3_MOUSE
PHB_MOUSE
FUMH_MOUSE
PPIA_MOUSE
UBE2N_MOUSE
DLDH_MOUSE
1433Z_MOUSE
CH60_MOUSE
1433E_MOUSE
G3P_MOUSE
DPYL5_MOUSE
ACTY_MOUSE
UCHL1_MOUSE
TCPA_MOUSE
ODP2_MOUSE
MDHC_MOUSE
KCRB_MOUSE
HDHD2_MOUSE
MARE3_MOUSE
ALBU_MOUSE
ALDOA_MOUSE
UCRI_MOUSE
NDUV2_MOUSE
NFM_MOUSE
ENOA_MOUSE
TBB2B_MOUSE
ACON_MOUSE
LGUL_MOUSE
HS74L_MOUSE
1433G_MOUSE
TCPZ_MOUSE
PDIA3_MOUSE
GRP78_MOUSE
ILEUA_MOUSE
NDRG2_MOUSE
ATPB_MOUSE
PRS7_MOUSE
ALDH2_MOUSE
COR1A_MOUSE
CAZA2_MOUSE
CAH2_MOUSE
SYG_MOUSE
IDHC_MOUSE
VINC_MOUSE
STXB1_MOUSE
CISY_MOUSE
PSB4_MOUSE
PEBP1_MOUSE
GABT_MOUSE
GDIR1_MOUSE
CY1_MOUSE
GRP75_MOUSE
PP1R7_MOUSE
IDH3A_MOUSE
SH3G2_MOUSE
PDC6I_MOUSE
PRDX2_MOUSE
GDIA_MOUSE
NDUAA_MOUSE
AATC_MOUSE
KCRU_MOUSE
VATB2_MOUSE
GLOD4_MOUSE
ODO1_MOUSE
DYN1_MOUSE
ATPA_MOUSE
ETFA_MOUSE
PLPP_MOUSE
PURA_MOUSE
SCRN1_MOUSE
CALB2_MOUSE
AINX_MOUSE
PP1B_MOUSE
IMMT_MOUSE
TBB5_MOUSE
TCPE_MOUSE
TBA4A_MOUSE
TBB2A_MOUSE
SUCB1_MOUSE
DHE3_MOUSE
G6PD1_MOUSE
UBA1_MOUSE
ENPL_MOUSE
TBB3_MOUSE
TPIS_MOUSE
SYN1_MOUSE
NDUB9_MOUSE
TCTP_MOUSE
MDHM_MOUSE
VATA_MOUSE
SNP25_MOUSE
RASH_MOUSE
VATF_MOUSE
PRDX3_MOUSE
NSF_MOUSE
ACY1_MOUSE
SYUA_MOUSE
ALDOC_MOUSE
SEPT5_MOUSE
DPYL2_MOUSE
ANXA5_MOUSE
ODPA_MOUSE
HSP7C_MOUSE
CRYAB_MOUSE
GFAP_MOUSE
PGAM1_MOUSE
SODC_MOUSE
AT1A3_MOUSE
KAD1_MOUSE
KCY_MOUSE
DPYL4_MOUSE
A3KGU5_MOUSE
A3KGU7_MOUSE
D3YYN7_MOUSE
F6VME3_MOUSE
MTAP2_MOUSE
SPTB2_MOUSE
AT1A1_MOUSE
Q3THL7_MOUSE
Q8BPF4_MOUSE
Q3TYL9_MOUSE
Q3U804_MOUSE
A8DUK4_MOUSE
Q05DD2_MOUSE
TBB4B_MOUSE
CLH1_MOUSE
B2RQQ5_MOUSE
DYHC1_MOUSE
MYPR_MOUSE
TBB4A_MOUSE
Q80TQ3_MOUSE
MAP1A_MOUSE
BASP1_MOUSE
E41L3_MOUSE
D0VYV6_MOUSE
CPLX1_MOUSE
S4R1C4_MOUSE
G3UZ07_MOUSE
Q3TXY0_MOUSE
MAP6_MOUSE
CALM_MOUSE
G3UVV4_MOUSE
HS90B_MOUSE
Q3TT92_MOUSE
Q3UGZ4_MOUSE
1433T_MOUSE
SYUB_MOUSE
Q3U6X6_MOUSE
Q3TKB9_MOUSE
STX1B_MOUSE
CMC1_MOUSE
S4R1F9_MOUSE
Q3TQL4_MOUSE
MARCS_MOUSE
1433B_MOUSE
SYN2_MOUSE
E9Q3W4_MOUSE
CNTN1_MOUSE
S4R2H6_MOUSE
FAS_MOUSE
ACTBL_MOUSE
Q61275_MOUSE
Q3TIU7_MOUSE
ATP5J_MOUSE
Q3U4P3_MOUSE
Q3TQP7_MOUSE
SUCA_MOUSE
Q3UWS9_MOUSE
B7U582_MOUSE
CAPS1_MOUSE
E9Q171_MOUSE
Q3TIY6_MOUSE
H3BKM0_MOUSE
G3UX26_MOUSE
Q5DTI3_MOUSE
J3KMM5_MOUSE
Q3UJK6_MOUSE
G3X9L6_MOUSE
NFASC_MOUSE
AL1A1_MOUSE
GNAO_MOUSE
Q8C845_MOUSE
D3YZ62_MOUSE
1433F_MOUSE
G5E8R3_MOUSE
MOG_MOUSE
D3YWR7_MOUSE
F8WIT2_MOUSE
O35619_MOUSE
ADT2_MOUSE
A5A4Z2_MOUSE
AKA12_MOUSE
HS12A_MOUSE
OXR1_MOUSE
Q3TFQ8_MOUSE
G5E8J2_MOUSE
SNAA_MOUSE
Q8C048_MOUSE
B2RXT3_MOUSE
F8WGG5_MOUSE
SC6A1_MOUSE
MYH10_MOUSE
E9Q3M3_MOUSE
B1AQX6_MOUSE
Q3ZB60_MOUSE
PFKAM_MOUSE
ATPO_MOUSE
RAB10_MOUSE
TENR_MOUSE
VAMP3_MOUSE
TAU_MOUSE
AATM_MOUSE
EAA1_MOUSE
D3Z0Y2_MOUSE
AAK1_MOUSE
BACH_MOUSE
PCP4_MOUSE
Q8BUT2_MOUSE
F8WHZ9_MOUSE
Q8BPV9_MOUSE
ADT1_MOUSE
Q3UH19_MOUSE
Q6NXX6_MOUSE
Q32ME1_MOUSE
ECHA_MOUSE
Q3U2G2_MOUSE
RAB3A_MOUSE
CXA1_MOUSE
PCLO_MOUSE
B2RY15_MOUSE
F8WIX8_MOUSE
NCAM1_MOUSE
Q3U4W8_MOUSE
E9Q1V6_MOUSE
G3UXT7_MOUSE
BSN_MOUSE
H4_MOUSE
G6PI_MOUSE
