Uniprot Entry,Brain Part
Scg3,Olfactory_Bulb
Sf3b5,Olfactory_Bulb
Car8,Olfactory_Bulb
Ddc,Olfactory_Bulb
Srsf6,Olfactory_Bulb
Kctd8,Olfactory_Bulb
Ddah2,Olfactory_Bulb
Tceal5,Olfactory_Bulb
Ptprn,Olfactory_Bulb
Gria1,Olfactory_Bulb
Itpr3,Olfactory_Bulb
Pbx1,Olfactory_Bulb
Hnrnpa1,Olfactory_Bulb
Tceal3,Olfactory_Bulb
Ehd1,Olfactory_Bulb
Ilf3,Olfactory_Bulb
Dgkz,Olfactory_Bulb
Fam169a,Olfactory_Bulb
Cpne3,Olfactory_Bulb
Safb,Olfactory_Bulb
Rps6ka2,Olfactory_Bulb
Tceal6,Olfactory_Bulb
Abhd16a,Olfactory_Bulb
Atp1b3,Olfactory_Bulb
Apip,Olfactory_Bulb
Clic1,Olfactory_Bulb
Ptprn2,Olfactory_Bulb
A230065H16Rik,Olfactory_Bulb
Tmem163,Olfactory_Bulb
Mlc1,Olfactory_Bulb
Nup205,Olfactory_Bulb
Lpgat1,Olfactory_Bulb
Slc6a3,Olfactory_Bulb
Nono,Olfactory_Bulb
H2afy,Olfactory_Bulb
Snrnp27,Olfactory_Bulb
Cacng2,Olfactory_Bulb
Actn2,Olfactory_Bulb
Th,Olfactory_Bulb
Stim1,Olfactory_Bulb
Mecp2,Olfactory_Bulb
Entpd2,Olfactory_Bulb
Bnip2,Olfactory_Bulb
Fubp1,Olfactory_Bulb
Gm6750,Olfactory_Bulb
Gm7931,Olfactory_Bulb
Hmgn2,Olfactory_Bulb
Hist2h2aa1,Olfactory_Bulb
Hist2h2aa2,Olfactory_Bulb
Eps15,Olfactory_Bulb
Clic6,Olfactory_Bulb
Nudt10,Olfactory_Bulb
Ebp,Olfactory_Bulb
H2afz,Olfactory_Bulb
Acot11,Olfactory_Bulb
Actr3b,Olfactory_Bulb
Akap5,Olfactory_Bulb
Ankrd63,Olfactory_Bulb
Cbx1,Olfactory_Bulb
Cdk19,Olfactory_Bulb
Ctbp2,Olfactory_Bulb
Gm17748,Olfactory_Bulb
Gria4,Olfactory_Bulb
Grm1,Olfactory_Bulb
Hmgb2,Olfactory_Bulb
Hmgn3,Olfactory_Bulb
Ildr2,Olfactory_Bulb
Ipcef1,Olfactory_Bulb
Isoc2a,Olfactory_Bulb
LOC632329,Olfactory_Bulb
LOC637733,Olfactory_Bulb
Parva,Olfactory_Bulb
Pcif1,Olfactory_Bulb
Pde2a,Olfactory_Bulb
Plrg1,Olfactory_Bulb
Prex1,Olfactory_Bulb
Prrt1,Olfactory_Bulb
Prune2,Olfactory_Bulb
Psip1,Olfactory_Bulb
Rad21,Olfactory_Bulb
Rmdn3,Olfactory_Bulb
Shank1,Olfactory_Bulb
Slc14a1,Olfactory_Bulb
Sptb,Olfactory_Bulb
Srgap2,Olfactory_Bulb
Srsf10,Olfactory_Bulb
Tuba8,Olfactory_Bulb
Vimp,Olfactory_Bulb
Lmnb1,Olfactory_Bulb
Rbm3,Olfactory_Bulb
Hdgf,Olfactory_Bulb
Hist1h1a,Olfactory_Bulb
Hist3h2bb-ps,Olfactory_Bulb
Hist3h2ba,Olfactory_Bulb
Hist2h2ac,Olfactory_Bulb
