,Occurences
catalytic activity,64
binding,215
molecular function regulator,45
structural molecule activity,9
transporter activity,22
molecular transducer activity,14
molecular adaptor activity,10
transcription regulator activity,15
molecular carrier activity,1
antioxidant activity,1
