,Occurences
binding,204
catalytic activity,59
structural molecule activity,9
molecular function regulator,45
transporter activity,21
molecular transducer activity,13
molecular adaptor activity,10
transcription regulator activity,16
molecular carrier activity,1
antioxidant activity,1
