Uniprot Entry,Accession Name
P35700,['PRDX1_MOUSE']
P68368,['TBA4A_MOUSE']
O35459,['ECH1_MOUSE']
Q8QZS1,['HIBCH_MOUSE']
Q9Z2I9,['SUCB1_MOUSE']
Q7TMM9,['TBB2A_MOUSE']
P26443,['DHE3_MOUSE']
Q00612,['G6PD1_MOUSE']
Q8BH56,['DBNL_MOUSE']
Q8R4N0,['CLYBL_MOUSE']
Q62188,['DPYL3_MOUSE']
Q9R0P3,['ESTD_MOUSE']
Q9ERD7,['TBB3_MOUSE']
P17751,['TPIS_MOUSE']
O88935,['SYN1_MOUSE']
Q9CQJ8,['NDUB9_MOUSE']
P63028,['TCTP_MOUSE']
Q9CVB6,['ARPC2_MOUSE']
O88342,['WDR1_MOUSE']
P08249,['MDHM_MOUSE']
P50516,['VATA_MOUSE']
Q9D172,['ES1_MOUSE']
Q9BR45,['SNP25_MOUSE']
Q9CZS1,['AL1B1_MOUSE']
Q9CZ30,['OLA1_MOUSE']
P20108,['PRDX3_MOUSE']
P04370,['MBP_MOUSE']
P46460,['NSF_MOUSE']
Q3TC72,['FAHD2_MOUSE']
P52503,['NDUS6_MOUSE']
Q9CR95,['NECP1_MOUSE']
P13707,['GPDA_MOUSE']
O55042,['SYUA_MOUSE']
P08551,['NFL_MOUSE']
P05063,['ALDOC_MOUSE']
Q9Z2Q6,['SEPT5_MOUSE']
O08553,['DPYL2_MOUSE']
P63037,['DNJA1_MOUSE']
P62334,['PRS10_MOUSE']
P35486,['ODPA_MOUSE']
Q3UGM0,['HSP7C_MOUSE']
Q61553,['FSCN1_MOUSE']
P06151,['LDHA_MOUSE']
P23927,['CRYAB_MOUSE']
P70362,['UFD1_MOUSE']
Q9DBJ1,['PGAM1_MOUSE']
P53810,['PIPNA_MOUSE']
P08228,['SODC_MOUSE']
O35737,['HNRH1_MOUSE']
Q9R111,['GUAD_MOUSE']
Q9D0K2,['SCOT1_MOUSE']
Q9CZ13,['QCR1_MOUSE']
Q9DBP5,['KCY_MOUSE']
Q9R1Q8,['TAGL3_MOUSE']
O35098,['DPYL4_MOUSE']
P16546,['SPTN1_MOUSE']
Q6PIC6,['AT1A3_MOUSE']
Q62261,['SPTB2_MOUSE']
P20357,['MTAP2_MOUSE']
Q68FD5,['CLH1_MOUSE']
Q91XV3,['BASP1_MOUSE']
Q6PIE5,['AT1A2_MOUSE']
Q8VDN2,['AT1A1_MOUSE']
P14873,['MAP1B_MOUSE']
Q9JHU4,['DYHC1_MOUSE']
Q9QYR6,['MAP1A_MOUSE']
Q8C8R3,['ANK2_MOUSE']
P28663,['SNAB_MOUSE']
P07901,['HS90A_MOUSE']
Q9WV92,['E41L3_MOUSE']
P63040,['CPLX1_MOUSE']
Q9R0K7,['AT2B2_MOUSE']
P18872,['GNAO_MOUSE']
O88737,['BSN_MOUSE']
P01942,['HBA_MOUSE']
P62259,['1433E_MOUSE']
Q9QXR9,['PLEC_MOUSE']
P26645,['MARCS_MOUSE']
Q02053,['UBA1_MOUSE']
Q61548,['AP180_MOUSE']
Q91ZZ3,['SYUB_MOUSE']
Q61879,['MYH10_MOUSE']
P17710,['HXK1_MOUSE']
Q9DB05,['SNAA_MOUSE']
G5E829,['AT2B1_MOUSE']
Q8BPN8,['DMXL2_MOUSE']
Q6Q477,['AT2B4_MOUSE']
Q99104,['MYO5A_MOUSE']
P68372,['TBB4B_MOUSE']
Q7TSJ2,['MAP6_MOUSE']
Q9D6F9,['TBB4A_MOUSE']
O35526,['STX1A_MOUSE']
P61264,['STX1B_MOUSE']
Q9DBG3,['AP2B1_MOUSE']
Q9QYX7,['PCLO_MOUSE']
O55143,['AT2A2_MOUSE']
Q61644,['PACN1_MOUSE']
D3Z7P3,['GLSK_MOUSE']
Q3TXX4,['VGLU1_MOUSE']
P68254,['1433T_MOUSE']
Q498A3,['CALM1_MOUSE']
Q9JM07,['G6PI_MOUSE']
Q61305,['ANK3_MOUSE']
Q920I9,['WDR7_MOUSE']
Q7TPR4,['ACTN1_MOUSE']
P12960,['CNTN1_MOUSE']
Q60931,['VDAC3_MOUSE']
P13595,['NCAM1_MOUSE']
Q7TQF7,['AMPH_MOUSE']
Q8K0U4,['HS12A_MOUSE']
Q80TJ1,['CAPS1_MOUSE']
D3YVF0,['AKAP5_MOUSE']
Q8BFZ3,['ACTBL_MOUSE']
P57780,['ACTN4_MOUSE']
Q9JJZ2,['TBA8_MOUSE']
Q9Z2H5,['E41L1_MOUSE']
Q91V12,['BACH_MOUSE']
P14211,['CALR_MOUSE']
B2RSH2,['GNAI1_MOUSE']
Q9Z1B3,['PLCB1_MOUSE']
P28652,['KCC2B_MOUSE']
Q810U4,['NRCAM_MOUSE']
O35682,['MYADM_MOUSE']
Q9CQR2,['RS21_MOUSE']
P08752,['GNAI2_MOUSE']
Q8K290,['RTN4_MOUSE']
P47857,['PFKAM_MOUSE']
O08788,['DCTN1_MOUSE']
Q9DC51,['GNAI3_MOUSE']
Q8CHC4,['SYNJ1_MOUSE']
P19096,['FAS_MOUSE']
Q8BH59,['CMC1_MOUSE']
P84091,['AP2M1_MOUSE']
P10637,['TAU_MOUSE']
P63044,['VAMP2_MOUSE']
Q8CAQ8,['MIC60_MOUSE']
Q3UHJ0,['AAK1_MOUSE']
P43006,['EAA2_MOUSE']
Q8BYI9,['TENR_MOUSE']
Q61598,['GDIB_MOUSE']
Q4KMM3,['OXR1_MOUSE']
P16330,['CN37_MOUSE']
Q8R3M2,['ODO1_MOUSE']
P46096,['SYT1_MOUSE']
Q9WUM5,['SUCA_MOUSE']
Q91V41,['RAB14_MOUSE']
Q11011,['PSA_MOUSE']
Q91VD9,['NDUS1_MOUSE']
P63318,['KPCG_MOUSE']
P60202,['MYPR_MOUSE']
Q9QYB5,['ADDG_MOUSE']
Q3UNH4,['GRIN1_MOUSE']
O35643,['AP1B1_MOUSE']
P63054,['PCP4_MOUSE']
O08539,['BIN1_MOUSE']
Q9Z0P4,['PALM_MOUSE']
P48758,['CBR1_MOUSE']
P63328,['PP2BA_MOUSE']
Q9QWI6,['SRCN1_MOUSE']
Q8BKX1,['BAIP2_MOUSE']
Q9QYC0,['ADDA_MOUSE']
Q99KJ8,['DCTN2_MOUSE']
Q9EPN1,['NBEA_MOUSE']
Q9CQV8,['1433B_MOUSE']
P01831,['THY1_MOUSE']
P05202,['AATM_MOUSE']
Q8K0S0,['PHYIP_MOUSE']
Q8R071,['IP3KA_MOUSE']
Q8VDD5,['MYH9_MOUSE']
