,Occurences
catalytic activity,1125
binding,2240
transporter activity,216
molecular carrier activity,18
antioxidant activity,19
molecular function regulator,381
transcription regulator activity,118
molecular adaptor activity,77
structural molecule activity,131
translation regulator activity,43
cargo receptor activity,6
small molecule sensor activity,2
molecular transducer activity,86
