Uniprot Entry,Accession Name
Q8VDN2,['AT1A1_MOUSE']
Q9QXR9,['PLEC_MOUSE']
Q68FD5,['CLH1_MOUSE']
Q7TSJ2,['MAP6_MOUSE']
Q64524,['H2B2E_MOUSE']
P68372,['TBB4B_MOUSE']
P10853,['H2B1F_MOUSE']
Q91ZZ3,['SYUB_MOUSE']
P16330,['CN37_MOUSE']
Q8C8R3,['ANK2_MOUSE']
Q61879,['MYH10_MOUSE']
Q9QYB5,['ADDG_MOUSE']
Q8CAQ8,['MIC60_MOUSE']
P17710,['HXK1_MOUSE']
Q9JHU4,['DYHC1_MOUSE']
Q61548,['AP180_MOUSE']
Q8K0U4,['HS12A_MOUSE']
P62897,['CYC_MOUSE']
P14873,['MAP1B_MOUSE']
P61264,['STX1B_MOUSE']
O35129,['PHB2_MOUSE']
Q91VR2,['ATPG_MOUSE']
O88935,['SYN1_MOUSE']
P19096,['FAS_MOUSE']
Q9D6F9,['TBB4A_MOUSE']
P17427,['AP2A2_MOUSE']
Q99104,['MYO5A_MOUSE']
P63328,['PP2BA_MOUSE']
O55143,['AT2A2_MOUSE']
Q61303,['ANK1_MOUSE']
Q9D0F9,['PGM1_MOUSE']
Q64433,['CH10_MOUSE']
O55042,['SYUA_MOUSE']
Q02053,['UBA1_MOUSE']
Q9Z2D6,['MECP2_MOUSE']
Q61305,['ANK3_MOUSE']
P11881,['ITPR1_MOUSE']
Q11011,['PSA_MOUSE']
Q6PDS7,['H4_MOUSE']
P68510,['1433F_MOUSE']
Q8R0Y6,['AL1L1_MOUSE']
Q8BPN8,['DMXL2_MOUSE']
P62631,['EF1A2_MOUSE']
P15864,['H12_MOUSE']
Q9JM07,['G6PI_MOUSE']
Q8BW96,['KCC1D_MOUSE']
P97427,['DPYL1_MOUSE']
Q6URW6,['MYH14_MOUSE']
Q9WUM5,['SUCA_MOUSE']
P97765,['WBP2_MOUSE']
Q9QYR6,['MAP1A_MOUSE']
O08917,['FLOT1_MOUSE']
Q8CGC7,['SYEP_MOUSE']
P50518,['VATE1_MOUSE']
Q8K298,['ANLN_MOUSE']
Q8K3K6,['CAPS2_MOUSE']
Q8C167,['PPCEL_MOUSE']
Q8BGT8,['PHIPL_MOUSE']
Q61937,['NPM_MOUSE']
P10630,['IF4A2_MOUSE']
O08638,['MYH11_MOUSE']
G5E829,['AT2B1_MOUSE']
P15508,['SPTB1_MOUSE']
Q9QXZ0,['MACF1_MOUSE']
Q80TJ1,['CAPS1_MOUSE']
Q8BRT1,['CLAP2_MOUSE']
Q8VIJ6,['SFPQ_MOUSE']
Q9WTT4,['VATG2_MOUSE']
Q9Z1S5,['SEPT3_MOUSE']
Q8BL66,['EEA1_MOUSE']
P20152,['VIME_MOUSE']
P31324,['KAP3_MOUSE']
Q91YR1,['TWF1_MOUSE']
Q99KN9,['EPN4_MOUSE']
Q9CQQ7,['AT5F1_MOUSE']
P53994,['RAB2A_MOUSE']
Q9JJZ2,['TBA8_MOUSE']
P97300,['NPTN_MOUSE']
Q9D3D9,['ATPD_MOUSE']
Q9QYG0,['NDRG2_MOUSE']
O70318,['E41L2_MOUSE']
P31650,['S6A11_MOUSE']
O08788,['DCTN1_MOUSE']
P62881,['GNB5_MOUSE']
P47757,['CAPZB_MOUSE']
Q9WUB3,['PYGM_MOUSE']
P17426,['AP2A1_MOUSE']
Q9R0K7,['AT2B2_MOUSE']
Q8VDD5,['MYH9_MOUSE']
