,Occurences
catalytic activity,988
binding,1933
transporter activity,188
molecular adaptor activity,62
antioxidant activity,16
molecular function regulator,314
structural molecule activity,127
transcription regulator activity,86
cargo receptor activity,6
translation regulator activity,33
molecular carrier activity,17
molecular transducer activity,59
small molecule sensor activity,2
general transcription initiation factor activity,2
