,Occurences
molecular transducer activity,14
binding,205
transporter activity,23
molecular function regulator,44
catalytic activity,60
structural molecule activity,9
molecular adaptor activity,10
transcription regulator activity,14
molecular carrier activity,1
antioxidant activity,1
