Uniprot Entry,Brain Part
Rps6ka2,Cortex_Subplate
Tceal6,Cortex_Subplate
Abhd16a,Cortex_Subplate
Atp1b3,Cortex_Subplate
Apip,Cortex_Subplate
Clic1,Cortex_Subplate
Ptprn2,Cortex_Subplate
Tmem163,Cortex_Subplate
Mlc1,Cortex_Subplate
Nup205,Cortex_Subplate
Lpgat1,Cortex_Subplate
Nono,Cortex_Subplate
H2afy,Cortex_Subplate
Snrnp27,Cortex_Subplate
Cacng2,Cortex_Subplate
Actn2,Cortex_Subplate
Stim1,Cortex_Subplate
Mecp2,Cortex_Subplate
Entpd2,Cortex_Subplate
Fubp1,Cortex_Subplate
Gm6750,Cortex_Subplate
Gm7931,Cortex_Subplate
Hmgn2,Cortex_Subplate
Hist2h2aa1,Cortex_Subplate
Hist2h2aa2,Cortex_Subplate
Eps15,Cortex_Subplate
Clic6,Cortex_Subplate
Nudt10,Cortex_Subplate
Ebp,Cortex_Subplate
H2afz,Cortex_Subplate
0610009B22Rik,Cortex_Subplate
Acot11,Cortex_Subplate
Actr3b,Cortex_Subplate
Akap5,Cortex_Subplate
Ankrd63,Cortex_Subplate
Arhgef33,Cortex_Subplate
Cbx1,Cortex_Subplate
E330009J07Rik,Cortex_Subplate
Fat2,Cortex_Subplate
Flna,Cortex_Subplate
Gria4,Cortex_Subplate
Hmgb2,Cortex_Subplate
Hmgn3,Cortex_Subplate
Ildr2,Cortex_Subplate
Ipcef1,Cortex_Subplate
Isoc2a,Cortex_Subplate
LOC632329,Cortex_Subplate
LOC637733,Cortex_Subplate
Nsmf,Cortex_Subplate
Parva,Cortex_Subplate
Pcif1,Cortex_Subplate
Pde2a,Cortex_Subplate
Ppp1r16b,Cortex_Subplate
Prrt1,Cortex_Subplate
Prune2,Cortex_Subplate
Psip1,Cortex_Subplate
Rmdn3,Cortex_Subplate
Serpinh1,Cortex_Subplate
Shank1,Cortex_Subplate
Slc14a1,Cortex_Subplate
Sptb,Cortex_Subplate
Srgap2,Cortex_Subplate
Srsf10,Cortex_Subplate
Tuba8,Cortex_Subplate
Vimp,Cortex_Subplate
Lmnb1,Cortex_Subplate
Rbm3,Cortex_Subplate
Hdgf,Cortex_Subplate
Hist1h1a,Cortex_Subplate
Hist3h2bb-ps,Cortex_Subplate
Hist3h2ba,Cortex_Subplate
Hist2h2ac,Cortex_Subplate
