Uniprot Entry,0,1,2,3,4,5,6,7,8,9
P09411,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
S4R2M7,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q6PIE5,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
D3YYN7,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q6P1J1,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P63101,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P18760,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
F8WGL3,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q01853,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P63038,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P20029,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q8VDD5,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P14873,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P58252,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
A8DUK4,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
E9Q223,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q60932,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
F2Z471,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P84228,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P51881,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P08553,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q02053,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P39053,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P05202,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
E9PWE8,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q3TT92,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P17751,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
H7BXC3,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q9DBJ1,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
O88569,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P50516,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
O88935,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q91VB8,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P01942,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P03995,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P07901,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q9ERD7,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P35700,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
