,Occurences
molecular transducer activity,15
binding,214
transporter activity,28
catalytic activity,61
molecular function regulator,46
structural molecule activity,9
molecular adaptor activity,9
transcription regulator activity,15
molecular carrier activity,1
antioxidant activity,1
