Uniprot Entry,Accession Name
Q8BXL9,['IFFO1_MOUSE']
Q8BY02,['NKRF_MOUSE']
Q8C0T9,['ADCYA_MOUSE']
Q8C4Q6,['AIDA_MOUSE']
Q8C5N3,['CWC22_MOUSE']
Q8C5W3,['TBCEL_MOUSE']
Q8C8T7,['ELFN1_MOUSE']
Q8CBF3,['EPHB1_MOUSE']
Q8CCA0,['DCNL4_MOUSE']
Q8CDI7,['CC150_MOUSE']
Q8CDV6,['CCD63_MOUSE']
Q8CF02,['FM25C_MOUSE']
Q8CG71,['P3H2_MOUSE']
Q8CGV2,['TPH2_MOUSE']
Q8CH02,['SUGP1_MOUSE']
Q8CH72,['TRI32_MOUSE']
Q8CHP6,['PHC3_MOUSE']
Q8CIM3,['D2HDH_MOUSE']
Q8JZR6,['S4A8_MOUSE']
Q8K0T7,['UN13C_MOUSE']
Q8K0W3,['RN208_MOUSE']
Q8K2A8,['ALG3_MOUSE']
Q8K2I9,['FBH1_MOUSE']
Q8K2J0,['PLCD3_MOUSE']
Q8K2R5,['ZN668_MOUSE']
Q8K2X1,['AT10D_MOUSE']
Q8K353,['CYTM1_MOUSE']
Q8K3F6,['KCNQ3_MOUSE']
Q8QZY2,['GLCTK_MOUSE']
Q8R0Z5,['MFRN2_MOUSE']
Q8R180,['ERO1A_MOUSE']
Q8R1F1,['NIBA2_MOUSE']
Q8R1W8,['IMPG1_MOUSE']
Q8R349,['CDC16_MOUSE']
Q8R420,['ABCA3_MOUSE']
Q8VD66,['ABHD4_MOUSE']
Q8VD72,['TTC8_MOUSE']
Q8VDD9,['PHIP_MOUSE']
Q8VDZ4,['ZDHC5_MOUSE']
Q8VGR8,['O1052_MOUSE']
Q8VHX6,['FLNC_MOUSE']
Q8VI95,['OAS1D_MOUSE']
Q91V57,['CHIN_MOUSE']
Q91WJ0,['FRS3_MOUSE']
Q91WL5,['CP4CA_MOUSE']
Q91YK2,['RRP1B_MOUSE']
Q91YN9,['BAG2_MOUSE']
Q922Q9,['CHID1_MOUSE']
Q922X9,['ANM7_MOUSE']
Q923J1,['TRPM7_MOUSE']
Q923M0,['PP16A_MOUSE']
Q924D0,['RT4I1_MOUSE']
Q925G2,['CYBR1_MOUSE']
Q99J21,['MCLN1_MOUSE']
Q99K10,['NLGN1_MOUSE']
Q99LH4,['ZN672_MOUSE']
Q99ME7,['TBX19_MOUSE']
Q99ME9,['NOG1_MOUSE']
Q99P31,['HPBP1_MOUSE']
Q9CQ13,['COPRS_MOUSE']
Q9CQ48,['NUDC2_MOUSE']
Q9CQC8,['SPG21_MOUSE']
Q9CQT1,['MTNA_MOUSE']
Q9CS00,['CATIN_MOUSE']
Q9CWG8,['NDUF7_MOUSE']
Q9CWX2,['CIA30_MOUSE']
Q9CX13,['CNIH4_MOUSE']
Q9CX60,['LBH_MOUSE']
Q9CYN2,['SPCS2_MOUSE']
Q9CZB3,['THUM2_MOUSE']
Q9D1I6,['RM14_MOUSE']
Q9D281,['NXP20_MOUSE']
Q9D2Z8,['KIF12_MOUSE']
Q9D3P9,['NEUT_MOUSE']
Q9D4M9,['GLTL5_MOUSE']
Q9D6A1,['MYO1H_MOUSE']
