Uniprot Entry,Accession Name
B2RTM0,B2RTM0_MOUSE
A0A151NSZ8,A0A151NSZ8_MOUSE
A0A367IXS1,A0A367IXS1_MOUSE
B2R4R0,B2R4R0_MOUSE
B2R4R0,B2R4R0_MOUSE
B2RZG1,B2RZG1_MOUSE
A0A250Y902,A0A250Y902_MOUSE
P62804,P62804_MOUSE
Q29102,Q29102_MOUSE
P11881,P11881_MOUSE
Q65CL1,Q65CL1_MOUSE
Q9NRS2,O14770_MOUSE
P10412,P10412_MOUSE
Q5YLM1,Q5YLM1_MOUSE
D3ZBN0,D3ZBN0_MOUSE
P97610,P97610_MOUSE
P20781,P20781_MOUSE
O77788,O77788_MOUSE
P48320,P48320_MOUSE
Q01844,Q01844_MOUSE
P60191,P60191_MOUSE
P12798,P12798_MOUSE
A5A6J6,A5A6J6_MOUSE
P10854,P10854_MOUSE
Q64525,Q64525_MOUSE
A7MB80,A7MB80_MOUSE
O97790,O97790_MOUSE
Q5ZMV7,Q5ZMV7_MOUSE
P28693,P28693_MOUSE
P16402,P16402_MOUSE
P05982,P05982_MOUSE
O60291,O60291_MOUSE
P0C028,P0C028_MOUSE
B4F721,B4F721_MOUSE
A5LFV8,A5LFV8_MOUSE
A3KQS4,A3KQS4_MOUSE
P70206,P70206_MOUSE
Q5RAG7,Q5RAG7_MOUSE
Q1LZA7,Q1LZA7_MOUSE
Q49LS1,Q49LS1_MOUSE
A6QLY4,A6QLY4_MOUSE
Q96P50,Q96P50_MOUSE
Q9WU63,Q9WU63_MOUSE
Q3SZ48,Q3SZ48_MOUSE
Q99020,Q99020_MOUSE
O60779,O60779_MOUSE
Q07666,Q07666_MOUSE
Q923W4,Q923W4_MOUSE
Q6P559,P97434_MOUSE
O00273,O00273_MOUSE
P97822,P97822_MOUSE
A3KQQ9,A3KQQ9_MOUSE
Q55BF5,Q55BF5_MOUSE
O49303,O49303_MOUSE
O88533,O88533_MOUSE
G3V6S8,G3V6S8_MOUSE
Q5BK20,Q5BK20_MOUSE
Q50H33,Q50H33_MOUSE
O95865,O95865_MOUSE
Q5H9L2,Q5H9L2_MOUSE
P56722,P56722_MOUSE
P19490,P19490_MOUSE
P70227,P70227_MOUSE
B4F6V6,B4F6V6_MOUSE
A5A6H4,A5A6H4_MOUSE
Q8R0A5,Q8R0A5_MOUSE
Q5E9R3,Q5E9R3_MOUSE
Q9NRN2,Q12906_MOUSE
Q5RC07,Q5RC07_MOUSE
O08560,O08560_MOUSE
Q5XG69,Q5XG69_MOUSE
O75131,O75131_MOUSE
D3YXK2,D3YXK2_MOUSE
Q15349,Q15349_MOUSE
Q6IPX3,Q6IPX3_MOUSE
O95870,O95870_MOUSE
P13623,P13623_MOUSE
P21188,P21188_MOUSE
B5X277,B5X277_MOUSE
O00299,O00299_MOUSE
O02695,O02695_MOUSE
G3UW55,G3UW55_MOUSE
A6QQX9,A6QQX9_MOUSE
J7HCX7,J7HCX7_MOUSE
O14613,O14613_MOUSE
F4KBW6,F4KBW6_MOUSE
Q91YX5,Q91YX5_MOUSE
P23977,P23977_MOUSE
Q15233,Q15233_MOUSE
O75367,O75367_MOUSE
Q6DDA4,Q6DDA4_MOUSE
Q8VD12,Q8VD12_MOUSE
O88602,O88602_MOUSE
P20111,P20111_MOUSE
A0A060X6Z0,A0A060X6Z0_MOUSE
P70302,P70302_MOUSE
P51608,P51608_MOUSE
O35795,O35795_MOUSE
O54940,O54940_MOUSE
Q32PX7,Q32PX7_MOUSE
P02313,P02313_MOUSE
B2RWH3,B2RWH3_MOUSE
Q6GSS7,Q6GSS7_MOUSE
P42566,P42566_MOUSE
Q811Q2,Q811Q2_MOUSE
