,Occurences
catalytic activity,943
binding,1876
structural molecule activity,116
antioxidant activity,15
transcription regulator activity,94
transporter activity,166
molecular function regulator,307
molecular adaptor activity,64
cargo receptor activity,3
molecular carrier activity,14
translation regulator activity,37
small molecule sensor activity,1
molecular transducer activity,45
general transcription initiation factor activity,2
