Uniprot Entry,Accession Name
Q99LC5,['ETFA_MOUSE']
O35643,['AP1B1_MOUSE']
P19096,['FAS_MOUSE']
Q9D0J8,['PTMS_MOUSE']
Q9D051,['ODPB_MOUSE']
Q64518,['AT2A3_MOUSE']
Q9JM07,['G6PI_MOUSE']
Q8K3K6,['CAPS2_MOUSE']
P12960,['CNTN1_MOUSE']
Q8R081,['HNRPL_MOUSE']
Q8BFR5,['EFTU_MOUSE']
O08788,['DCTN1_MOUSE']
Q9BR45,['SNP25_MOUSE']
Q91V41,['RAB14_MOUSE']
P08113,['ENPL_MOUSE']
Q80VX6,['GFAP_MOUSE']
Q62420,['SH3G2_MOUSE']
O08749,['DLDH_MOUSE']
Q9D172,['ES1_MOUSE']
Q8K0U4,['HS12A_MOUSE']
Q9WUM5,['SUCA_MOUSE']
P14152,['MDHC_MOUSE']
Q64332,['SYN2_MOUSE']
P28652,['KCC2B_MOUSE']
O88487,['DC1I2_MOUSE']
Q61316,['HSP74_MOUSE']
Q8BYI9,['TENR_MOUSE']
P40142,['TKT_MOUSE']
P08414,['KCC4_MOUSE']
O35737,['HNRH1_MOUSE']
Q99JP6,['HOME3_MOUSE']
Q9QYC0,['ADDA_MOUSE']
P00920,['CAH2_MOUSE']
Q60931,['VDAC3_MOUSE']
Q61644,['PACN1_MOUSE']
P51859,['HDGF_MOUSE']
P97807,['FUMH_MOUSE']
P08752,['GNAI2_MOUSE']
Q9Z2I9,['SUCB1_MOUSE']
Q91VR2,['ATPG_MOUSE']
Q9CR68,['UCRI_MOUSE']
P47708,['RP3A_MOUSE']
Q9QYG0,['NDRG2_MOUSE']
P05201,['AATC_MOUSE']
P05202,['AATM_MOUSE']
P26041,['MOES_MOUSE']
Q9JIS5,['SV2A_MOUSE']
Q6P9K8,['CSKI1_MOUSE']
Q8VEK3,['HNRPU_MOUSE']
Q91V12,['BACH_MOUSE']
Q61545,['EWS_MOUSE']
Q8VDP4,['K1967_MOUSE']
Q920I9,['WDR7_MOUSE']
P68510,['1433F_MOUSE']
Q01853,['TERA_MOUSE']
Q9CQR2,['RS21_MOUSE']
O55042,['SYUA_MOUSE']
O35129,['PHB2_MOUSE']
Q640R3,['HECAM_MOUSE']
P97450,['ATP5J_MOUSE']
Q61990,['PCBP2_MOUSE']
Q11011,['PSA_MOUSE']
Q99PU5,['ACBG1_MOUSE']
Q8CGP6,['H2A1H_MOUSE']
P62631,['EF1A2_MOUSE']
Q9QXZ0,['MACF1_MOUSE']
Q9EQ20,['MMSA_MOUSE']
P47754,['CAZA2_MOUSE']
P60335,['PCBP1_MOUSE']
P17427,['AP2A2_MOUSE']
Q8BVI4,['DHPR_MOUSE']
Q8R559,['SHPS1_MOUSE']
O08529,['CAN2_MOUSE']
Q80YX1,['TENA_MOUSE']
P97300,['NPTN_MOUSE']
P20152,['VIME_MOUSE']
P70404,['IDHG1_MOUSE']
P63325,['RS10_MOUSE']
Q8K310,['MATR3_MOUSE']
Q8K0T0,['RTN1_MOUSE']
Q9CPQ8,['ATP5L_MOUSE']
P63044,['VAMP2_MOUSE']
Q8VDQ8,['SIR2_MOUSE']
Q99K48,['NONO_MOUSE']
P20917,['MAG_MOUSE']
Q9CQV8,['1433B_MOUSE']
P17742,['PPIA_MOUSE']
Q9D855,['QCR7_MOUSE']
Q4KMM3,['OXR1_MOUSE']
Q9D0K2,['SCOT1_MOUSE']
P97765,['WBP2_MOUSE']
P99029,['PRDX5_MOUSE']
P23242,['CXA1_MOUSE']
Q9CZU6,['CISY_MOUSE']
Q9Z2H5,['E41L1_MOUSE']
P51881,['ADT2_MOUSE']
Q91V14,['S12A5_MOUSE']
Q8K0S0,['PHYIP_MOUSE']
Q64433,['CH10_MOUSE']
P10126,['EF1A1_MOUSE']
Q8CHC4,['SYNJ1_MOUSE']
