Uniprot Entry,Accession Name
Q3UG20,['KMT2E_MOUSE']
Q3UHE1,['PITM3_MOUSE']
Q3UKU1,['ELL2_MOUSE']
Q3UMU9,['HDGR2_MOUSE']
Q3UN02,['LCLT1_MOUSE']
Q3UQ44,['IQGA2_MOUSE']
Q3URY0,['RTL4_MOUSE']
Q3USQ7,['SYN1L_MOUSE']
Q3UV17,['K22O_MOUSE']
Q3UVL4,['VPS51_MOUSE']
Q3UWQ3,['UB2FB_MOUSE']
Q3UXZ6,['FA81A_MOUSE']
Q3UYK3,['TBCD9_MOUSE']
Q3UZP0,['MALD2_MOUSE']
Q3V188,['ENDOU_MOUSE']
Q3V1L6,['MTMRB_MOUSE']
Q3V1M1,['IGS10_MOUSE']
Q3V384,['AFG1L_MOUSE']
Q3V3Q4,['PYDC3_MOUSE']
Q3ZN08,['F220A_MOUSE']
Q402U7,['PRS44_MOUSE']
Q497L8,['S22AG_MOUSE']
Q56A04,['EME2_MOUSE']
Q5DU37,['ZFY26_MOUSE']
Q5EE38,['ACD_MOUSE']
Q5NCX5,['NEUL4_MOUSE']
Q5NCY0,['KDM6B_MOUSE']
Q5SGK3,['AOXB_MOUSE']
Q5SQM0,['EMAL6_MOUSE']
Q5SSE9,['ABCAD_MOUSE']
Q6PDH3,['ABR_MOUSE']
Q5SSM3,['RHG44_MOUSE']
Q5SWY7,['FA83G_MOUSE']
Q5XJY6,['FANCB_MOUSE']
Q60625,['ICAM5_MOUSE']
Q60636,['PRDM1_MOUSE']
Q60838,['DVL2_MOUSE']
Q60953,['PML_MOUSE']
Q60974,['NCOR1_MOUSE']
Q60976,['JERKY_MOUSE']
Q60989,['XIAP_MOUSE']
Q61056,['TRPC1_MOUSE']
Q61062,['DVL3_MOUSE']
Q61122,['NAB1_MOUSE']
Q61143,['TRPC6_MOUSE']
Q61400,['CEAMA_MOUSE']
Q61474,['MSI1H_MOUSE']
Q61532,['MK06_MOUSE']
Q61602,['GLI3_MOUSE']
Q61614,['EDNRA_MOUSE']
Q61645,['HAIR_MOUSE']
Q6PHZ3,['ELAV4_MOUSE']
Q61831,['MK10_MOUSE']
Q61967,['ZFP90_MOUSE']
Q62083,['PICK1_MOUSE']
Q62159,['RHOC_MOUSE']
Q62172,['RBP1_MOUSE']
Q62190,['RON_MOUSE']
Q62203,['SF3A2_MOUSE']
Q62230,['SN_MOUSE']
Q62504,['MINT_MOUSE']
Q63918,['CAVN2_MOUSE']
Q63932,['MP2K2_MOUSE']
Q640N1,['AEBP1_MOUSE']
Q641K1,['CBPC1_MOUSE']
Q64345,['IFIT3_MOUSE']
Q64446,['ATP7B_MOUSE']
Q64729,['TGFR1_MOUSE']
Q64731,['FOXL1_MOUSE']
Q66JT1,['LRC8E_MOUSE']
Q67E05,['BPI_MOUSE']
Q67FY2,['BCL9L_MOUSE']
Q689Z5,['SBNO1_MOUSE']
Q68EF0,['RAB3I_MOUSE']
Q68FD9,['K1549_MOUSE']
Q69ZB8,['ZCHC2_MOUSE']
Q69ZH9,['RHG23_MOUSE']
Q69ZT1,['FAN1_MOUSE']
Q69ZZ9,['K0754_MOUSE']
Q6DFY8,['BRNP2_MOUSE']
Q6DID5,['PWP3A_MOUSE']
Q6IFZ9,['K2C74_MOUSE']
Q6J1H4,['UTF1_MOUSE']
Q6NS59,['F135A_MOUSE']
Q6NS82,['RETR2_MOUSE']
Q6NSW3,['SPKAP_MOUSE']
Q6NXH8,['MET25_MOUSE']
Q6NXI6,['RPRD2_MOUSE']
Q6NZC7,['S23IP_MOUSE']
Q6NZN0,['RBM26_MOUSE']
Q6P4S6,['SIK3_MOUSE']
Q6PAL7,['AHDC1_MOUSE']
Q6PCP7,['GP156_MOUSE']
Q6PF93,['PK3C3_MOUSE']
Q6QI06,['RICTR_MOUSE']
