,Occurences
binding,204
molecular adaptor activity,11
transporter activity,25
catalytic activity,60
molecular function regulator,44
structural molecule activity,8
molecular transducer activity,14
transcription regulator activity,10
molecular carrier activity,1
antioxidant activity,1
