,Occurences
binding,1848
catalytic activity,928
transporter activity,178
molecular adaptor activity,61
molecular function regulator,304
molecular carrier activity,13
transcription regulator activity,84
antioxidant activity,16
structural molecule activity,125
translation regulator activity,42
cargo receptor activity,4
molecular transducer activity,49
small molecule sensor activity,1
general transcription initiation factor activity,1
