Uniprot Entry,Accession Name
P30275,['KCRU_MOUSE']
Q3U9Z0,['VATB2_MOUSE']
Q9CPV4,['GLOD4_MOUSE']
Q8C1B7,['SEP11_MOUSE']
Q9JKB1,['UCHL3_MOUSE']
Q8BFR5,['EFTU_MOUSE']
P51880,['FABP7_MOUSE']
P62715,['PP2AB_MOUSE']
Q8BP92,['RCN2_MOUSE']
Q61360,['DYN1_MOUSE']
Q03265,['ATPA_MOUSE']
P50518,['VATE1_MOUSE']
P17156,['HSP72_MOUSE']
O88569,['ROA2_MOUSE']
Q99LC5,['ETFA_MOUSE']
P06837,['NEUM_MOUSE']
Q8K310,['MATR3_MOUSE']
P60487,['PLPP_MOUSE']
P54775,['PRS6B_MOUSE']
P42669,['PURA_MOUSE']
Q9CZC8,['SCRN1_MOUSE']
Q08331,['CALB2_MOUSE']
Q01768,['NDKB_MOUSE']
Q9WTM5,['RUVB2_MOUSE']
P11499,['HS90B_MOUSE']
P46660,['AINX_MOUSE']
P62141,['PP1B_MOUSE']
Q9CY33,['TBB5_MOUSE']
O88544,['CSN4_MOUSE']
P70195,['PSB7_MOUSE']
P60710,['ACTB_MOUSE']
Q60631,['GRB2_MOUSE']
P80316,['TCPE_MOUSE']
Q9D819,['IPYR_MOUSE']
P35700,['PRDX1_MOUSE']
P68368,['TBA4A_MOUSE']
Q7TMM9,['TBB2A_MOUSE']
Q9Z2I9,['SUCB1_MOUSE']
Q61699,['HS105_MOUSE']
P26443,['DHE3_MOUSE']
Q8BH56,['DBNL_MOUSE']
Q02053,['UBA1_MOUSE']
P08113,['ENPL_MOUSE']
Q62188,['DPYL3_MOUSE']
Q9R0P3,['ESTD_MOUSE']
Q9ERD7,['TBB3_MOUSE']
Q76MZ3,['2AAA_MOUSE']
O88935,['SYN1_MOUSE']
Q9DCT8,['CRIP2_MOUSE']
P58281,['OPA1_MOUSE']
P63028,['TCTP_MOUSE']
P17751,['TPIS_MOUSE']
Q63844,['MK03_MOUSE']
Q9WUR9,['KAD4_MOUSE']
P08249,['MDHM_MOUSE']
P84104,['SRSF3_MOUSE']
Q3ULJ0,['GPD1L_MOUSE']
P50516,['VATA_MOUSE']
Q60972,['RBBP4_MOUSE']
Q9BR45,['SNP25_MOUSE']
Q61411,['RASH_MOUSE']
Q9D1K2,['VATF_MOUSE']
P20108,['PRDX3_MOUSE']
Q60817,['NACA_MOUSE']
P04370,['MBP_MOUSE']
P46460,['NSF_MOUSE']
Q3TC72,['FAHD2_MOUSE']
Q9CR95,['NECP1_MOUSE']
O55042,['SYUA_MOUSE']
P08551,['NFL_MOUSE']
P05063,['ALDOC_MOUSE']
Q9Z2Q6,['SEPT5_MOUSE']
O08553,['DPYL2_MOUSE']
P48036,['ANXA5_MOUSE']
Q3UGM0,['HSP7C_MOUSE']
P23927,['CRYAB_MOUSE']
O35295,['PURB_MOUSE']
Q8R1Q8,['DC1L1_MOUSE']
P13020,['GELS_MOUSE']
Q80VX6,['GFAP_MOUSE']
Q9DBJ1,['PGAM1_MOUSE']
P53810,['PIPNA_MOUSE']
P08228,['SODC_MOUSE']
P63073,['IF4E_MOUSE']
P14733,['LMNB1_MOUSE']
O35737,['HNRH1_MOUSE']
Q9R111,['GUAD_MOUSE']
Q9R0Y5,['KAD1_MOUSE']
P21279,['GNAQ_MOUSE']
Q9QZ06,['TOLIP_MOUSE']
Q9DBP5,['KCY_MOUSE']
Q9R1Q8,['TAGL3_MOUSE']
P16546,['SPTN1_MOUSE']
Q8BFZ3,['ACTBL_MOUSE']
Q6PIC6,['AT1A3_MOUSE']
Q9QXR9,['PLEC_MOUSE']
P20357,['MTAP2_MOUSE']
Q62261,['SPTB2_MOUSE']
P08553,['NFM_MOUSE']
Q91ZZ3,['SYUB_MOUSE']
P60202,['MYPR_MOUSE']
Q6PIE5,['AT1A2_MOUSE']
P11798,['KCC2A_MOUSE']
O35129,['PHB2_MOUSE']
Q9WV92,['E41L3_MOUSE']
Q61879,['MYH10_MOUSE']
P61264,['STX1B_MOUSE']
Q8VDN2,['AT1A1_MOUSE']
P01942,['HBA_MOUSE']
P68372,['TBB4B_MOUSE']
P17710,['HXK1_MOUSE']
Q60932,['VDAC1_MOUSE']
P63328,['PP2BA_MOUSE']
P14873,['MAP1B_MOUSE']
Q7TPR4,['ACTN1_MOUSE']
Q8CAQ8,['MIC60_MOUSE']
P57780,['ACTN4_MOUSE']
Q61885,['MOG_MOUSE']
Q9QXZ0,['MACF1_MOUSE']
P97427,['DPYL1_MOUSE']
Q8K0U4,['HS12A_MOUSE']
Q9D0F9,['PGM1_MOUSE']
Q99104,['MYO5A_MOUSE']
Q8QZT1,['THIL_MOUSE']
Q8C8R3,['ANK2_MOUSE']
P16330,['CN37_MOUSE']
P62897,['CYC_MOUSE']
Q9JHU4,['DYHC1_MOUSE']
G5E829,['AT2B1_MOUSE']
Q7TSJ2,['MAP6_MOUSE']
Q61548,['AP180_MOUSE']
Q8BW96,['KCC1D_MOUSE']
P68510,['1433F_MOUSE']
O35526,['STX1A_MOUSE']
O08917,['FLOT1_MOUSE']
Q68FD5,['CLH1_MOUSE']
Q9D8Y0,['EFHD2_MOUSE']
Q9D3D9,['ATPD_MOUSE']
Q91YR1,['TWF1_MOUSE']
P97765,['WBP2_MOUSE']
Q5U410,['G3P_MOUSE']
Q9EQF6,['DPYL5_MOUSE']
Q9JI91,['ACTN2_MOUSE']
Q6Q477,['AT2B4_MOUSE']
P05202,['AATM_MOUSE']
P63318,['KPCG_MOUSE']
Q9QYX7,['PCLO_MOUSE']
P97300,['NPTN_MOUSE']
P19096,['FAS_MOUSE']
Q9D6F9,['TBB4A_MOUSE']
Q9R0K7,['AT2B2_MOUSE']
O08788,['DCTN1_MOUSE']
O55143,['AT2A2_MOUSE']
Q9JME5,['AP3B2_MOUSE']
P10637,['TAU_MOUSE']
Q9D0J8,['PTMS_MOUSE']
Q498A3,['CALM1_MOUSE']
P62881,['GNB5_MOUSE']
Q9Z1S5,['SEPT3_MOUSE']
Q91VR2,['ATPG_MOUSE']
Q9QYR6,['MAP1A_MOUSE']
Q9Z2D6,['MECP2_MOUSE']
Q64332,['SYN2_MOUSE']
Q8CHC4,['SYNJ1_MOUSE']
P12960,['CNTN1_MOUSE']
Q9JLB0,['MPP6_MOUSE']
P99029,['PRDX5_MOUSE']
Q810U4,['NRCAM_MOUSE']
O88487,['DC1I2_MOUSE']
P43006,['EAA2_MOUSE']
Q91XV3,['BASP1_MOUSE']
Q9CQR2,['RS21_MOUSE']
Q3UCA0,['LMNA_MOUSE']
Q8BJ42,['DLGP2_MOUSE']
Q8BRT1,['CLAP2_MOUSE']
Q8JZS0,['LIN7A_MOUSE']
Q8BKX1,['BAIP2_MOUSE']
P01831,['THY1_MOUSE']
P10126,['EF1A1_MOUSE']
P62631,['EF1A2_MOUSE']
Q80TJ1,['CAPS1_MOUSE']
O35098,['DPYL4_MOUSE']
P68254,['1433T_MOUSE']
Q9WV34,['MPP2_MOUSE']
Q99K48,['NONO_MOUSE']
P28652,['KCC2B_MOUSE']
P17427,['AP2A2_MOUSE']
Q920I9,['WDR7_MOUSE']
Q8C167,['PPCEL_MOUSE']
P60843,['IF4A1_MOUSE']
Q9Z0R4,['ITSN1_MOUSE']
Q62108,['DLG4_MOUSE']
P15105,['GLNA_MOUSE']
P68404,['KPCB_MOUSE']
Q8R071,['IP3KA_MOUSE']
Q3TXS7,['PSMD1_MOUSE']
P14094,['AT1B1_MOUSE']
Q8K290,['RTN4_MOUSE']
O88952,['LIN7C_MOUSE']
P24549,['AL1A1_MOUSE']
Q8VCW8,['ACSF2_MOUSE']
P47963,['RL13_MOUSE']
Q64433,['CH10_MOUSE']
P10630,['IF4A2_MOUSE']
Q8BG39,['SV2B_MOUSE']
Q9CQV8,['1433B_MOUSE']
Q9CS84,['NRX1A_MOUSE']
Q2PFD7,['PSD3_MOUSE']
Q8BH59,['CMC1_MOUSE']
P56564,['EAA1_MOUSE']
Q11011,['PSA_MOUSE']
Q8R3Z5,['CACB1_MOUSE']
P10922,['H10_MOUSE']
Q4KUS2,['UN13A_MOUSE']
Q78PY7,['SND1_MOUSE']
P17426,['AP2A1_MOUSE']
Q80Z38,['SHAN2_MOUSE']
Q80TV8,['CLAP1_MOUSE']
Q922S4,['PDE2A_MOUSE']
Q6URW6,['MYH14_MOUSE']
Q99JY0,['ECHB_MOUSE']
Q91VK4,['ITM2C_MOUSE']
Q9DB20,['ATPO_MOUSE']
P70336,['ROCK2_MOUSE']
Q9Z0H8,['CLIP2_MOUSE']
Q58A65,['JIP4_MOUSE']
Q61301,['CTNA2_MOUSE']
Q91VN4,['MIC25_MOUSE']
D3YVF0,['AKAP5_MOUSE']
Q9D172,['ES1_MOUSE']
P23242,['CXA1_MOUSE']
Q8R0S4,['CACB4_MOUSE']
P61161,['ARP2_MOUSE']
Q0KL02,['TRIO_MOUSE']
Q8BYI9,['TENR_MOUSE']
Q8BG05,['ROA3_MOUSE']
P53994,['RAB2A_MOUSE']
Q9DBG6,['RPN2_MOUSE']
Q8C166,['CPNE1_MOUSE']
Q9QYB5,['ADDG_MOUSE']
Q8BIW1,['PRUN1_MOUSE']
P28660,['NCKP1_MOUSE']
Q9WTT4,['VATG2_MOUSE']
Q9JM07,['G6PI_MOUSE']
Q9JKY5,['HIP1R_MOUSE']
Q8VDD5,['MYH9_MOUSE']
P48453,['PP2BB_MOUSE']
Q8BPN8,['DMXL2_MOUSE']
P63005,['LIS1_MOUSE']
Q9DBG3,['AP2B1_MOUSE']
Q61305,['ANK3_MOUSE']
Q80WL8,['MADD_MOUSE']
P31650,['S6A11_MOUSE']
Q8K0S0,['PHYIP_MOUSE']
Q91YQ5,['RPN1_MOUSE']
Q6P9K8,['CSKI1_MOUSE']
P63054,['PCP4_MOUSE']
Q91887,['UBB_MOUSE']
O35136,['NCAM2_MOUSE']
Q9QWI6,['SRCN1_MOUSE']
P14824,['ANXA6_MOUSE']
Q6NZL0,['SOGA3_MOUSE']
O88456,['CPNS1_MOUSE']
Q8BG32,['PSD11_MOUSE']
Q4KMM3,['OXR1_MOUSE']
Q9Z2H5,['E41L1_MOUSE']
Q810U3,['NFASC_MOUSE']
Q3UNH4,['GRIN1_MOUSE']
Q9CXZ1,['NDUS4_MOUSE']
Q8R3M2,['ODO1_MOUSE']
P18872,['GNAO_MOUSE']
P80318,['TCPG_MOUSE']
P62492,['RB11A_MOUSE']
Q8BL66,['EEA1_MOUSE']
P51150,['RAB7A_MOUSE']
Q3THS6,['METK2_MOUSE']
Q9R0M6,['RAB9A_MOUSE']
Q07133,['H1T_MOUSE']
Q8VDQ8,['SIR2_MOUSE']
Q64516,['GLPK_MOUSE']
D3YZU1,['SHAN1_MOUSE']
P50247,['SAHH_MOUSE']
Q8K3K6,['CAPS2_MOUSE']
P28740,['KIF2A_MOUSE']
O35639,['ANXA3_MOUSE']
O35459,['ECH1_MOUSE']
Q91XM9,['DLG2_MOUSE']
Q91ZU8,['DYST_MOUSE']
P58252,['EF2_MOUSE']
P61027,['RAB10_MOUSE']
Q8CGC7,['SYEP_MOUSE']
Q9Z1B3,['PLCB1_MOUSE']
Q99MN9,['PCCB_MOUSE']
Q9JIS5,['SV2A_MOUSE']
Q05920,['PYC_MOUSE']
O88737,['BSN_MOUSE']
Q8BGT8,['PHIPL_MOUSE']
Q99MR8,['MCCA_MOUSE']
Q6PIP5,['NUDC1_MOUSE']
O35344,['IMA4_MOUSE']
P63044,['VAMP2_MOUSE']
