GO:0052654,"{'GO:0008483', 'GO:0016769', 'GO:0004084', 'GO:0003824', 'GO:0016740', 'GO:0003674'}"
GO:0052655,"{'GO:0008483', 'GO:0016769', 'GO:0004084', 'GO:0003824', 'GO:0016740', 'GO:0003674'}"
GO:0043021,"{'GO:0005488', 'GO:0044877', 'GO:0003674'}"
GO:0003735,"{'GO:0005198', 'GO:0003674'}"
GO:0140326,"{'GO:0140303', 'GO:0005319', 'GO:0005215', 'GO:0003674'}"
GO:0000287,"{'GO:0005488', 'GO:0046872', 'GO:0043169', 'GO:0043167', 'GO:0003674'}"
GO:0002020,"{'GO:0005488', 'GO:0005515', 'GO:0019899', 'GO:0003674'}"
GO:0005275,"{'GO:0005215', 'GO:0015075', 'GO:0022857', 'GO:0008509', 'GO:0003674'}"
GO:0015220,"{'GO:0005215', 'GO:0015075', 'GO:0008324', 'GO:0022857', 'GO:0015101', 'GO:0008509', 'GO:0003674'}"
GO:0015562,"{'GO:0005215', 'GO:0022857', 'GO:0003674'}"
GO:0015179,"{'GO:0015075', 'GO:0046943', 'GO:0008509', 'GO:0003674', 'GO:0005215', 'GO:0015171', 'GO:0015318', 'GO:0022857', 'GO:0005342'}"
GO:0061459,"{'GO:0015181', 'GO:0008509', 'GO:0003674', 'GO:0015174', 'GO:0005215', 'GO:0015318', 'GO:0005342', 'GO:0015179', 'GO:0008324', 'GO:0015075', 'GO:0046943', 'GO:0015171', 'GO:0022857', 'GO:0008514'}"
GO:0008504,"{'GO:0015075', 'GO:0008509', 'GO:0022804', 'GO:0003674', 'GO:0005215', 'GO:0022853', 'GO:0022857'}"
GO:0005326,"{'GO:0005215', 'GO:0022857', 'GO:0003674'}"
GO:0015101,"{'GO:0015075', 'GO:0008509', 'GO:0003674', 'GO:0005215', 'GO:0022857', 'GO:0008324'}"
GO:0015651,"{'GO:0005215', 'GO:0015075', 'GO:0008324', 'GO:0022857', 'GO:0015101', 'GO:0008509', 'GO:0003674'}"
GO:0005496,"{'GO:0005488', 'GO:0097159', 'GO:0008289', 'GO:0003674'}"
GO:0019534,"{'GO:0005215', 'GO:0022857', 'GO:0003674'}"
GO:0042910,"{'GO:0005215', 'GO:0022857', 'GO:0003674'}"
GO:0050681,"{'GO:0005488', 'GO:0005102', 'GO:0005515', 'GO:0051427', 'GO:0140297', 'GO:0003674', 'GO:0035257', 'GO:0008134', 'GO:0061629', 'GO:0016922', 'GO:0035258'}"
GO:0030331,"{'GO:0005488', 'GO:0005102', 'GO:0005515', 'GO:0051427', 'GO:0140297', 'GO:0003674', 'GO:0035257', 'GO:0008134', 'GO:0061629', 'GO:0016922', 'GO:0035258'}"
GO:0042054,"{'GO:0016740', 'GO:0003824', 'GO:0016741', 'GO:0008276', 'GO:0140096', 'GO:0008168', 'GO:0003674'}"
GO:0046975,"{'GO:0008170', 'GO:0016279', 'GO:0016741', 'GO:0008276', 'GO:0003824', 'GO:0018024', 'GO:0016278', 'GO:0008168', 'GO:0003674', 'GO:0008757', 'GO:0042054', 'GO:0140096', 'GO:0016740'}"
GO:0042799,"{'GO:0008170', 'GO:0016279', 'GO:0016741', 'GO:0008276', 'GO:0003824', 'GO:0018024', 'GO:0016278', 'GO:0008168', 'GO:0003674', 'GO:0008757', 'GO:0042054', 'GO:0140096', 'GO:0016740'}"
GO:0042974,"{'GO:0005488', 'GO:0005102', 'GO:0005515', 'GO:0051427', 'GO:0140297', 'GO:0003674', 'GO:0035257', 'GO:0008134', 'GO:0061629'}"
GO:0046965,"{'GO:0005488', 'GO:0005102', 'GO:0005515', 'GO:0051427', 'GO:0140297', 'GO:0003674', 'GO:0035257', 'GO:0008134', 'GO:0061629', 'GO:0016922', 'GO:0042974'}"
GO:0046966,"{'GO:0005488', 'GO:0005102', 'GO:0005515', 'GO:0051427', 'GO:0140297', 'GO:0003674', 'GO:0035257', 'GO:0008134', 'GO:0061629'}"
GO:0008270,"{'GO:0046914', 'GO:0005488', 'GO:0046872', 'GO:0043169', 'GO:0043167', 'GO:0003674'}"
GO:0051020,"{'GO:0005488', 'GO:0005515', 'GO:0019899', 'GO:0003674'}"
GO:0043548,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0019901,"{'GO:0019900', 'GO:0005488', 'GO:0019899', 'GO:0005515', 'GO:0003674'}"
GO:0031625,"{'GO:0005488', 'GO:0044389', 'GO:0019899', 'GO:0005515', 'GO:0003674'}"
GO:0051018,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0097016,"{'GO:0005488', 'GO:0019904', 'GO:0005515', 'GO:0003674'}"
GO:0008092,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0005198,{'GO:0003674'}
GO:0019955,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0004713,"{'GO:0016773', 'GO:0003824', 'GO:0004672', 'GO:0003674', 'GO:0016772', 'GO:0016301', 'GO:0140096', 'GO:0016740'}"
GO:0042169,"{'GO:0005488', 'GO:0019904', 'GO:0005515', 'GO:0003674'}"
GO:0005020,"{'GO:0016773', 'GO:0140096', 'GO:0004713', 'GO:0003824', 'GO:0038023', 'GO:0003674', 'GO:0004672', 'GO:0004888', 'GO:0004714', 'GO:0060089', 'GO:0016772', 'GO:0016301', 'GO:0019199', 'GO:0016740'}"
GO:0004714,"{'GO:0016773', 'GO:0019199', 'GO:0038023', 'GO:0003674', 'GO:0004672', 'GO:0016772', 'GO:0016740', 'GO:0004713', 'GO:0003824', 'GO:0004888', 'GO:0060089', 'GO:0016301', 'GO:0140096'}"
GO:0003823,"{'GO:0005488', 'GO:0003674'}"
GO:0034987,"{'GO:0005488', 'GO:0005515', 'GO:0005102', 'GO:0003674'}"
GO:0030506,"{'GO:0005515', 'GO:0005488', 'GO:0008092', 'GO:0003674'}"
GO:0043395,"{'GO:0043394', 'GO:0005488', 'GO:0097367', 'GO:1901681', 'GO:0005515', 'GO:0003674'}"
GO:0008201,"{'GO:0005539', 'GO:0005488', 'GO:1901681', 'GO:0003674', 'GO:0097367'}"
GO:0004725,"{'GO:0004721', 'GO:0016791', 'GO:0016787', 'GO:0016788', 'GO:0003824', 'GO:0003674', 'GO:0042578', 'GO:0140096'}"
GO:0005102,"{'GO:0005488', 'GO:0003674', 'GO:0005515'}"
GO:0030507,"{'GO:0005488', 'GO:0044877', 'GO:0005515', 'GO:0008092', 'GO:0003674'}"
GO:0003779,"{'GO:0005515', 'GO:0005488', 'GO:0008092', 'GO:0003674'}"
GO:0017124,"{'GO:0005488', 'GO:0019904', 'GO:0005515', 'GO:0003674'}"
GO:0008083,"{'GO:0005488', 'GO:0005102', 'GO:0005515', 'GO:0098772', 'GO:0003674', 'GO:0048018', 'GO:0030546', 'GO:0030545'}"
GO:0005160,"{'GO:0005488', 'GO:0005102', 'GO:0005515', 'GO:0005126', 'GO:0003674'}"
GO:0016005,"{'GO:0008047', 'GO:0016004', 'GO:0003674', 'GO:0060229', 'GO:0098772', 'GO:0030234'}"
GO:0043130,"{'GO:0005488', 'GO:0005515', 'GO:0032182', 'GO:0003674'}"
GO:0003700,"{'GO:0140110', 'GO:0003674'}"
GO:0000977,"{'GO:0005488', 'GO:1990837', 'GO:1901363', 'GO:0003676', 'GO:0003674', 'GO:0001067', 'GO:0043565', 'GO:0000976', 'GO:0097159', 'GO:0003677', 'GO:0003690'}"
GO:0005201,"{'GO:0005198', 'GO:0003674'}"
GO:0042289,"{'GO:0005488', 'GO:0005102', 'GO:0042287', 'GO:0005515', 'GO:0003674'}"
GO:0048407,"{'GO:0005488', 'GO:0003674', 'GO:0005515', 'GO:0019838'}"
GO:0043394,"{'GO:0005488', 'GO:0097367', 'GO:0005515', 'GO:0003674'}"
GO:0004364,"{'GO:0003824', 'GO:0016765', 'GO:0016740', 'GO:0003674'}"
GO:0019003,"{'GO:0043168', 'GO:0001882', 'GO:0032550', 'GO:1901363', 'GO:0003674', 'GO:1901265', 'GO:0097367', 'GO:0097159', 'GO:0032561', 'GO:0000166', 'GO:0019001', 'GO:0005488', 'GO:0036094', 'GO:0017076', 'GO:0032555', 'GO:0043167', 'GO:0001883', 'GO:0032549', 'GO:0032553'}"
GO:0019002,"{'GO:0043168', 'GO:0001882', 'GO:0032550', 'GO:1901363', 'GO:0003674', 'GO:1901265', 'GO:0097367', 'GO:0097159', 'GO:0032561', 'GO:0000166', 'GO:0019001', 'GO:0005488', 'GO:0036094', 'GO:0017076', 'GO:0032555', 'GO:0043167', 'GO:0001883', 'GO:0032549', 'GO:0032553'}"
GO:0005525,"{'GO:0043168', 'GO:0001882', 'GO:0032550', 'GO:1901363', 'GO:0003674', 'GO:1901265', 'GO:0097367', 'GO:0097159', 'GO:0032561', 'GO:0000166', 'GO:0019001', 'GO:0005488', 'GO:0035639', 'GO:0036094', 'GO:0017076', 'GO:0032555', 'GO:0043167', 'GO:0001883', 'GO:0032549', 'GO:0032553'}"
GO:0003924,"{'GO:0016817', 'GO:0017111', 'GO:0016462', 'GO:0016787', 'GO:0003824', 'GO:0016818', 'GO:0003674'}"
GO:0030275,"{'GO:0005488', 'GO:0019904', 'GO:0005515', 'GO:0003674'}"
GO:0044877,"{'GO:0005488', 'GO:0003674'}"
GO:0070700,"{'GO:0005488', 'GO:0005102', 'GO:0033612', 'GO:0005515', 'GO:0070696', 'GO:0003674'}"
