Uniprot Entry,Accession Name
Q91W18,['TDRD3_MOUSE']
Q91W90,['TXND5_MOUSE']
Q91WC9,['DGLB_MOUSE']
Q91WM6,['EVA1A_MOUSE']
Q91XF4,['RN167_MOUSE']
Q91Z83,['MYH7_MOUSE']
Q91ZI0,['CELR3_MOUSE']
Q920M7,['SYT17_MOUSE']
Q922H4,['GMPPA_MOUSE']
Q922Q1,['MARC2_MOUSE']
Q922R1,['CP070_MOUSE']
Q99J39,['DCMC_MOUSE']
Q99JY4,['TRABD_MOUSE']
Q99K01,['PDXD1_MOUSE']
Q99KF0,['CAR14_MOUSE']
Q99KW3,['TARA_MOUSE']
Q99LG4,['TTC5_MOUSE']
Q99LU0,['CH1B1_MOUSE']
Q99PR8,['HSPB2_MOUSE']
Q9CPR8,['NSE3_MOUSE']
Q9CQ80,['VPS25_MOUSE']
Q9CQA0,['CENPM_MOUSE']
Q9CRA9,['FGOP2_MOUSE']
Q9CWM4,['PFD1_MOUSE']
Q9CWU2,['ZDH13_MOUSE']
Q9CXE2,['BCL7A_MOUSE']
Q9CXX9,['CUED2_MOUSE']
Q9CZJ2,['HS12B_MOUSE']
Q9D2H2,['KAD7_MOUSE']
Q9D4K5,['F166A_MOUSE']
Q9D7P9,['SPB12_MOUSE']
Q9D9R9,['F186A_MOUSE']
Q9DAK3,['RHBT1_MOUSE']
Q9DBD0,['ICA_MOUSE']
Q9DBN1,['STR6L_MOUSE']
Q9DBY8,['NVL_MOUSE']
Q9EP66,['HCAR2_MOUSE']
Q9JHP7,['PLGT2_MOUSE']
Q9JHZ2,['ANKH_MOUSE']
Q9JIW4,['DPOLM_MOUSE']
Q9JJU9,['CRBB3_MOUSE']
Q9JJY3,['NSMA2_MOUSE']
Q9JKE2,['TREM1_MOUSE']
Q9JMI0,['ECEL1_MOUSE']
Q9QUK4,['BIR1B_MOUSE']
Q9QXD6,['F16P1_MOUSE']
Q9QXW9,['LAT2_MOUSE']
Q9QXZ6,['SO1A1_MOUSE']
Q9QZ23,['NFU1_MOUSE']
Q9QZS0,['CO4A3_MOUSE']
Q9R053,['SCNBA_MOUSE']
Q9R1R0,['LHX6_MOUSE']
