binding,227
transcription regulator activity,24
molecular function regulator,40
catalytic activity,102
molecular adaptor activity,2
structural molecule activity,8
molecular transducer activity,14
translation regulator activity,4
transporter activity,18
molecular carrier activity,2
general transcription initiation factor activity,1
