Uniprot Entry,Accession Name
Q80TE4,['SI1L2_MOUSE']
Q80UP8,['S20A2_MOUSE']
Q80VW7,['AKNA_MOUSE']
Q80WR5,['CA174_MOUSE']
Q80XS6,['SMAG2_MOUSE']
Q80YE4,['LMTK1_MOUSE']
Q80YV3,['TRRAP_MOUSE']
Q80Z19,['MUC2_MOUSE']
Q80ZU5,['CC181_MOUSE']
Q811J3,['IREB2_MOUSE']
Q811T9,['DISC1_MOUSE']
Q8BFV3,['DUS4_MOUSE']
Q8BFY9,['TNPO1_MOUSE']
Q8BG71,['TYW2_MOUSE']
Q8BH60,['GOPC_MOUSE']
Q8BH61,['F13A_MOUSE']
Q8BHY8,['SNX14_MOUSE']
Q8BI22,['CE128_MOUSE']
Q8BIG4,['FBX28_MOUSE']
Q8BIL5,['HOOK1_MOUSE']
Q8BIY3,['ZC12D_MOUSE']
Q8BJ71,['NUP93_MOUSE']
Q8BJZ4,['RT35_MOUSE']
Q8BK67,['RCC2_MOUSE']
Q8BL43,['RASFA_MOUSE']
Q8BLX4,['FUCT1_MOUSE']
Q8BM85,['TBCK_MOUSE']
Q8BMA3,['CNKR3_MOUSE']
Q8BR27,['F214B_MOUSE']
Q8BRG6,['KLH24_MOUSE']
Q8BRH3,['RHG19_MOUSE']
Q8BTI9,['PK3CB_MOUSE']
Q8BUP8,['FA43A_MOUSE']
Q8BUV8,['GP107_MOUSE']
Q8BWW4,['LARP4_MOUSE']
Q8BYN5,['FSD1L_MOUSE']
Q8BZ52,['FSD2_MOUSE']
Q8BZ89,['ZN322_MOUSE']
Q8BZB3,['TM266_MOUSE']
Q8BZT2,['SH3R2_MOUSE']
Q8C0V9,['FRMD6_MOUSE']
Q8C1B1,['CAMP2_MOUSE']
Q8C3P7,['MTA70_MOUSE']
Q8C4X2,['KC1G3_MOUSE']
Q8CC86,['PNCB_MOUSE']
Q8CDI2,['FBX43_MOUSE']
Q8CEC6,['PPWD1_MOUSE']
Q8CFZ4,['GPC3_MOUSE']
Q8CGC4,['LS14B_MOUSE']
Q8CHY7,['TTC23_MOUSE']
Q8CI66,['STML1_MOUSE']
