biological regulation,207
multicellular organismal process,65
cellular process,256
developmental process,92
metabolic process,145
localization,86
biological process involved in interspecies interaction between organisms,19
immune system process,22
response to stimulus,83
locomotion,21
reproductive process,34
biological adhesion,15
rhythmic process,12
growth,8
behavior,12
signaling,9
biomineralization,3
biological process involved in intraspecies interaction between organisms,2
