Uniprot Entry,Brain Part
Ebp,Hypothalamus
H2afz,Hypothalamus
0610009B22Rik,Hypothalamus
Acot11,Hypothalamus
Actr3b,Hypothalamus
Akap5,Hypothalamus
Arhgef33,Hypothalamus
Cbx1,Hypothalamus
Ctbp2,Hypothalamus
E330009J07Rik,Hypothalamus
Fat2,Hypothalamus
Gria4,Hypothalamus
Grm1,Hypothalamus
Hmgn3,Hypothalamus
Ildr2,Hypothalamus
Isoc2a,Hypothalamus
LOC632329,Hypothalamus
LOC637733,Hypothalamus
Parva,Hypothalamus
Pcif1,Hypothalamus
Pde2a,Hypothalamus
Plcb4,Hypothalamus
Plrg1,Hypothalamus
Prex1,Hypothalamus
Prrt1,Hypothalamus
Prune2,Hypothalamus
Psip1,Hypothalamus
Rad21,Hypothalamus
Rmdn3,Hypothalamus
Shank1,Hypothalamus
Slc14a1,Hypothalamus
Sptb,Hypothalamus
Srgap2,Hypothalamus
Srsf10,Hypothalamus
Tuba8,Hypothalamus
Vimp,Hypothalamus
Lmnb1,Hypothalamus
Rbm3,Hypothalamus
Hdgf,Hypothalamus
Hist1h1a,Hypothalamus
Hist3h2bb-ps,Hypothalamus
Hist3h2ba,Hypothalamus
Hist2h2ac,Hypothalamus
