,Occurences
binding,207
molecular function regulator,43
catalytic activity,62
structural molecule activity,8
molecular transducer activity,14
transporter activity,19
molecular adaptor activity,10
transcription regulator activity,12
molecular carrier activity,1
antioxidant activity,1
