Uniprot Entry,Accession Name
Q61885,['MOG_MOUSE']
P80318,['TCPG_MOUSE']
P97300,['NPTN_MOUSE']
Q9WUM5,['SUCA_MOUSE']
Q9D051,['ODPB_MOUSE']
Q8BGT8,['PHIPL_MOUSE']
P97807,['FUMH_MOUSE']
P47857,['PFKAM_MOUSE']
P68254,['1433T_MOUSE']
Q9CQA3,['SDHB_MOUSE']
P12960,['CNTN1_MOUSE']
Q9QYG0,['NDRG2_MOUSE']
P15508,['SPTB1_MOUSE']
P56564,['EAA1_MOUSE']
B2RSH2,['GNAI1_MOUSE']
P02088,['HBB1_MOUSE']
Q8BW96,['KCC1D_MOUSE']
Q8CHC4,['SYNJ1_MOUSE']
Q8VDQ8,['SIR2_MOUSE']
Q9DBG3,['AP2B1_MOUSE']
Q8VCW8,['ACSF2_MOUSE']
Q9D8W5,['PSD12_MOUSE']
Q9D3D9,['ATPD_MOUSE']
Q7TNC4,['LC7L2_MOUSE']
Q9R0K7,['AT2B2_MOUSE']
Q64524,['H2B2E_MOUSE']
Q8BYI9,['TENR_MOUSE']
Q03517,['SCG2_MOUSE']
Q922B2,['SYDC_MOUSE']
Q9DB77,['QCR2_MOUSE']
Q9CWZ7,['SNAG_MOUSE']
Q9Z1S5,['SEPT3_MOUSE']
Q9Z0H8,['CLIP2_MOUSE']
P40142,['TKT_MOUSE']
D3Z4S3,['PTRD1_MOUSE']
P53994,['RAB2A_MOUSE']
Q9QYB5,['ADDG_MOUSE']
Q9WV27,['AT1A4_MOUSE']
Q3THK7,['GUAA_MOUSE']
Q8BPN8,['DMXL2_MOUSE']
Q91887,['UBB_MOUSE']
P63054,['PCP4_MOUSE']
Q3UPH1,['PRRC1_MOUSE']
P47757,['CAPZB_MOUSE']
O08638,['MYH11_MOUSE']
O09061,['PSB1_MOUSE']
P80315,['TCPD_MOUSE']
Q8BL66,['EEA1_MOUSE']
O54988,['SLK_MOUSE']
Q9ESN6,['TRIM2_MOUSE']
Q8R366,['IGSF8_MOUSE']
P14231,['AT1B2_MOUSE']
Q921F4,['HNRLL_MOUSE']
Q9Z2I9,['SUCB1_MOUSE']
Q61360,['DYN1_MOUSE']
P19246,['NFH_MOUSE']
P42208,['SEPT2_MOUSE']
