,Occurences
binding,1818
catalytic activity,912
structural molecule activity,110
molecular adaptor activity,62
molecular function regulator,291
transcription regulator activity,95
antioxidant activity,12
transporter activity,176
translation regulator activity,39
cargo receptor activity,4
molecular carrier activity,12
molecular transducer activity,51
general transcription initiation factor activity,3
small molecule sensor activity,2
