GO:0005811,"{'GO:0043232', 'GO:0043226', 'GO:0110165', 'GO:0043229', 'GO:0005575', 'GO:0043228', 'GO:0005622'}"
GO:0048471,"{'GO:0005575', 'GO:0110165'}"
GO:0000502,"{'GO:1905368', 'GO:1905369', 'GO:0140535', 'GO:0005575', 'GO:1902494', 'GO:0032991'}"
GO:0035861,"{'GO:0005575', 'GO:0090734', 'GO:0110165'}"
GO:0034098,"{'GO:0098796', 'GO:0005575', 'GO:0140534', 'GO:0032991'}"
GO:1990730,"{'GO:0005575', 'GO:0032991'}"
GO:0000785,"{'GO:0005575', 'GO:0110165'}"
GO:0016021,"{'GO:0031224', 'GO:0005575', 'GO:0110165'}"
GO:0005635,"{'GO:0005575', 'GO:0110165', 'GO:0031975', 'GO:0031967'}"
GO:0005637,"{'GO:0031965', 'GO:0019866', 'GO:0005575', 'GO:0016020', 'GO:0031090', 'GO:0110165'}"
GO:0031965,"{'GO:0016020', 'GO:0031090', 'GO:0005575', 'GO:0110165'}"
GO:0005743,"{'GO:0019866', 'GO:0005575', 'GO:0016020', 'GO:0031090', 'GO:0110165', 'GO:0031966'}"
GO:0005759,"{'GO:0031974', 'GO:0005575', 'GO:0043233', 'GO:0070013', 'GO:0110165'}"
GO:0034663,"{'GO:0005575', 'GO:0140534', 'GO:0032991'}"
GO:0005788,"{'GO:0031974', 'GO:0005575', 'GO:0043233', 'GO:0070013', 'GO:0110165'}"
GO:0005793,"{'GO:0043226', 'GO:0005575', 'GO:0043231', 'GO:0110165', 'GO:0043227', 'GO:0043229', 'GO:0005622'}"
GO:0009897,"{'GO:0110165', 'GO:0005575', 'GO:0098552'}"
GO:0042470,"{'GO:0097708', 'GO:0043226', 'GO:0043227', 'GO:0005575', 'GO:0031410', 'GO:0031982', 'GO:0110165', 'GO:0048770'}"
GO:0016222,"{'GO:0005575', 'GO:1902494', 'GO:1990204', 'GO:0032991', 'GO:0140534'}"
GO:0001669,"{'GO:0099503', 'GO:0097708', 'GO:0043226', 'GO:0030141', 'GO:0043227', 'GO:0005575', 'GO:0031410', 'GO:0031982', 'GO:0110165'}"
GO:0009986,"{'GO:0005575', 'GO:0110165'}"
GO:0044322,"{'GO:0005575', 'GO:0110165'}"
GO:0005576,"{'GO:0005575', 'GO:0110165'}"
GO:0005615,"{'GO:0005575', 'GO:0110165'}"
GO:0005794,"{'GO:0043226', 'GO:0005575', 'GO:0043231', 'GO:0110165', 'GO:0043227', 'GO:0043229', 'GO:0005622'}"
GO:0042824,"{'GO:0098796', 'GO:0005575', 'GO:0140534', 'GO:0032991'}"
GO:0045335,"{'GO:0097708', 'GO:0043226', 'GO:0030139', 'GO:0043227', 'GO:0005575', 'GO:0031410', 'GO:0031982', 'GO:0110165'}"
GO:0005844,"{'GO:1990904', 'GO:0005575', 'GO:0032991'}"
GO:0016529,"{'GO:0005783', 'GO:0043226', 'GO:0043227', 'GO:0005575', 'GO:0043229', 'GO:0005622', 'GO:0043231', 'GO:0110165'}"
GO:0033018,"{'GO:0070013', 'GO:0005788', 'GO:0110165', 'GO:0031974', 'GO:0005575', 'GO:0043233'}"
GO:0005790,"{'GO:0005783', 'GO:0043226', 'GO:0043227', 'GO:0005575', 'GO:0043229', 'GO:0005622', 'GO:0043231', 'GO:0110165'}"
GO:0099738,"{'GO:0005938', 'GO:0099568', 'GO:0005575', 'GO:0005737', 'GO:0110165'}"
GO:0030426,"{'GO:0005575', 'GO:0030427', 'GO:0110165'}"
GO:0043005,"{'GO:0005575', 'GO:0120025', 'GO:0110165', 'GO:0042995'}"
GO:0043025,"{'GO:0044297', 'GO:0005575', 'GO:0110165'}"
GO:0043204,"{'GO:0005575', 'GO:0110165'}"
GO:0000015,"{'GO:0005575', 'GO:0032991', 'GO:1902494'}"
GO:0097060,"{'GO:0016020', 'GO:0098590', 'GO:0005575', 'GO:0110165'}"
GO:0030496,"{'GO:0005575', 'GO:0110165'}"
GO:0005901,"{'GO:0098590', 'GO:0044853', 'GO:0110165', 'GO:0016020', 'GO:0005575', 'GO:0098857', 'GO:0045121'}"
GO:0032839,"{'GO:0005575', 'GO:0032838', 'GO:0099568', 'GO:0110165', 'GO:0120111', 'GO:0005737'}"
GO:0005769,"{'GO:0097708', 'GO:0043226', 'GO:0043227', 'GO:0005575', 'GO:0005768', 'GO:0031410', 'GO:0031982', 'GO:0110165'}"
GO:0005770,"{'GO:0097708', 'GO:0043226', 'GO:0043227', 'GO:0005575', 'GO:0005768', 'GO:0031410', 'GO:0031982', 'GO:0110165'}"
GO:0005815,"{'GO:0005575', 'GO:0110165'}"
GO:0072686,"{'GO:0043232', 'GO:0043226', 'GO:0043229', 'GO:0005575', 'GO:0005622', 'GO:0005819', 'GO:0110165', 'GO:0043228'}"
GO:0031143,"{'GO:0005575', 'GO:0120025', 'GO:0110165', 'GO:0042995'}"
GO:0005882,"{'GO:0099081', 'GO:0005575', 'GO:0099080', 'GO:0099512', 'GO:0099513', 'GO:0110165'}"
GO:0005883,"{'GO:0099081', 'GO:0005575', 'GO:0099513', 'GO:0110165', 'GO:0099512', 'GO:0099080', 'GO:0005882'}"
GO:0031594,"{'GO:0045202', 'GO:0110165', 'GO:0005575', 'GO:0030054'}"
GO:0099182,"{'GO:0043232', 'GO:0043226', 'GO:0099569', 'GO:0043229', 'GO:0005575', 'GO:0005622', 'GO:0005856', 'GO:0045111', 'GO:0110165', 'GO:0043228'}"
GO:0005881,"{'GO:0099081', 'GO:0099513', 'GO:0005874', 'GO:0110165', 'GO:0099512', 'GO:0099080', 'GO:0005575'}"
GO:0019897,"{'GO:0005575', 'GO:0110165', 'GO:0019898'}"
GO:0098685,"{'GO:0045202', 'GO:0110165', 'GO:0005575', 'GO:0030054'}"
GO:0071944,"{'GO:0005575', 'GO:0110165'}"
GO:0030425,"{'GO:0043005', 'GO:0110165', 'GO:0042995', 'GO:0120025', 'GO:0005575'}"
GO:0030175,"{'GO:0098858', 'GO:0110165', 'GO:0042995', 'GO:0120025', 'GO:0005575'}"
